epoch  train_CROSS_ENTROPY  test_CROSS_ENTROPY  train_r2  test_r2  train_acc  test_acc  train_auprc  test_auprc  train_auroc  test_auroc

0  0.78032  0.77841  -0.29776  -0.28643  0.47076  0.47200  0.45981  0.47108  0.48657  0.50760
1  0.72004  0.72039  0.05653  0.05112  0.57871  0.56800  0.64942  0.63110  0.70301  0.68488
2  0.70839  0.71143  0.12389  0.09373  0.62569  0.60000  0.66852  0.64686  0.70941  0.67098
3  0.69103  0.69583  0.08541  0.04616  0.62919  0.60400  0.66997  0.64357  0.70505  0.68210
4  0.69079  0.69345  0.17497  0.14574  0.67166  0.64800  0.72955  0.70531  0.76265  0.73484
5  0.68570  0.68816  0.16654  0.14250  0.65817  0.65800  0.72676  0.70758  0.74565  0.73370
6  0.70944  0.70991  0.13573  0.12313  0.63968  0.67400  0.67315  0.66565  0.71311  0.71273
7  0.69036  0.68982  0.19498  0.18841  0.67816  0.67800  0.73051  0.73643  0.75431  0.75664
8  0.68728  0.69009  0.18638  0.15550  0.66917  0.64800  0.74973  0.73731  0.75903  0.74369
9  0.69507  0.69627  0.21983  0.20085  0.70515  0.69200  0.76340  0.74948  0.77730  0.76509
10  0.69557  0.69475  0.13499  0.12987  0.65217  0.64400  0.70754  0.69879  0.72078  0.72068
11  0.69757  0.70141  0.18343  0.14362  0.67416  0.65000  0.73176  0.70627  0.74743  0.71790
12  0.69648  0.69955  0.17891  0.14148  0.67016  0.63400  0.69980  0.68398  0.74026  0.71053
13  0.69050  0.69119  0.14816  0.12958  0.65567  0.63400  0.74356  0.73755  0.74917  0.74040
14  0.67774  0.68428  0.21666  0.15582  0.70115  0.66400  0.76096  0.72134  0.77473  0.73613
15  0.68221  0.68414  0.26137  0.23454  0.74313  0.72800  0.77743  0.77066  0.79722  0.77714
16  0.68678  0.69235  0.15020  0.08808  0.65817  0.64000  0.71207  0.66691  0.74010  0.69766
17  0.69231  0.69431  0.16882  0.13594  0.67516  0.65400  0.75666  0.73816  0.76976  0.75189
18  0.69535  0.69623  0.12798  0.10983  0.65317  0.64000  0.74817  0.74197  0.75180  0.74020
19  0.67532  0.67755  0.12284  0.08921  0.65367  0.64800  0.76912  0.73207  0.78769  0.75190
20  0.68991  0.69425  0.20293  0.16467  0.69965  0.68400  0.76708  0.75612  0.79427  0.77270
21  0.70767  0.70793  -0.00138  -0.01015  0.59020  0.58000  0.61353  0.58295  0.60983  0.61734
22  0.66951  0.67332  0.27239  0.21210  0.73663  0.72400  0.80181  0.76798  0.81992  0.77757
23  0.67876  0.68185  0.17067  0.12796  0.67216  0.66600  0.76964  0.72704  0.78684  0.75616
24  0.67721  0.68107  0.22290  0.17338  0.69565  0.69200  0.76399  0.71666  0.79335  0.76481
25  0.69833  0.70260  0.15309  0.10882  0.67016  0.65400  0.76198  0.73937  0.77161  0.74813
26  0.65793  0.66705  0.27176  0.19502  0.74313  0.72400  0.80043  0.75477  0.81078  0.76546
27  0.66179  0.66862  0.29607  0.21666  0.73313  0.71000  0.82687  0.77690  0.84620  0.79140
28  0.68634  0.69192  0.25125  0.19352  0.71214  0.71000  0.80033  0.74504  0.80871  0.77304
29  0.66180  0.66920  0.32330  0.24862  0.76312  0.72800  0.81055  0.76474  0.83040  0.78665
30  0.66479  0.67033  0.23553  0.18177  0.72414  0.71600  0.78619  0.76135  0.78726  0.75386
31  0.65325  0.66045  0.31640  0.23437  0.76112  0.73800  0.82270  0.78263  0.84296  0.79070
32  0.66369  0.67724  0.31298  0.19796  0.74563  0.67600  0.81000  0.74898  0.82354  0.76805
33  0.65870  0.67158  0.35432  0.24366  0.76412  0.70800  0.84036  0.78340  0.84623  0.79073
34  0.70346  0.70752  0.10538  0.06023  0.64518  0.63800  0.75094  0.72276  0.74225  0.71714
35  0.66577  0.67431  0.35245  0.26787  0.77561  0.73400  0.82716  0.76431  0.84401  0.79577
36  0.64971  0.65984  0.25115  0.15073  0.73013  0.69000  0.83350  0.77233  0.84681  0.79222
37  0.67770  0.68728  0.28041  0.19237  0.72764  0.71000  0.79263  0.71989  0.81432  0.76372
38  0.65317  0.66463  0.37781  0.26705  0.78411  0.73200  0.84276  0.78370  0.85330  0.79954
39  0.65967  0.67063  0.33564  0.22295  0.75762  0.70400  0.82817  0.76935  0.83235  0.78060
40  0.65128  0.66266  0.39343  0.28933  0.78461  0.75600  0.85163  0.79207  0.85981  0.81195
41  0.66685  0.67201  0.26220  0.18263  0.73013  0.70200  0.77867  0.74581  0.80862  0.76861
42  0.65413  0.66578  0.33977  0.24584  0.76412  0.74000  0.83542  0.77753  0.84347  0.79846
43  0.67379  0.67611  0.24122  0.20065  0.74213  0.70600  0.74578  0.74766  0.78684  0.75962
44  0.63784  0.65368  0.42003  0.27544  0.79310  0.75000  0.87368  0.80033  0.88367  0.81323
45  0.67531  0.68397  0.28675  0.19717  0.73963  0.72200  0.78843  0.71737  0.80949  0.76134
46  0.65278  0.66666  0.32944  0.19911  0.75712  0.73200  0.82160  0.75475  0.83767  0.78176
47  0.64761  0.66333  0.45431  0.31221  0.80710  0.75400  0.88820  0.79745  0.89275  0.82469
48  0.64433  0.66122  0.45282  0.29802  0.80960  0.75200  0.88130  0.80576  0.88952  0.82401
49  0.64040  0.65761  0.40770  0.27227  0.78711  0.73000  0.86771  0.78629  0.87082  0.80906
50  0.63751  0.65230  0.42684  0.30397  0.79210  0.73400  0.86661  0.81128  0.87700  0.82307
51  0.69998  0.69925  0.13037  0.12582  0.68716  0.67400  0.69036  0.70881  0.71852  0.70731
52  0.66649  0.67902  0.32815  0.21775  0.75212  0.73000  0.85761  0.77189  0.86536  0.80280
53  0.66856  0.67795  0.27819  0.19624  0.72614  0.68800  0.80141  0.72355  0.81720  0.76866
54  0.65297  0.66378  0.35408  0.23959  0.76562  0.73200  0.84860  0.77337  0.85702  0.79530
55  0.64127  0.65301  0.42148  0.29935  0.79910  0.73600  0.87265  0.79476  0.88228  0.82787
56  0.65890  0.66891  0.37075  0.27380  0.77661  0.73600  0.84975  0.79100  0.85574  0.80510
57  0.63717  0.65638  0.39641  0.23892  0.77561  0.72800  0.86327  0.76306  0.87137  0.80230
58  0.71165  0.71911  0.02217  -0.05573  0.66317  0.63800  0.68773  0.62587  0.72597  0.69146
59  0.65712  0.66998  0.38338  0.26370  0.78211  0.72800  0.85100  0.78075  0.85988  0.80315
60  0.63067  0.64523  0.41758  0.27991  0.80010  0.74000  0.87464  0.81368  0.87886  0.82699
61  0.65835  0.66896  0.33411  0.23423  0.75262  0.71200  0.82687  0.75022  0.83592  0.78928
62  0.66205  0.67150  0.15904  0.08522  0.69115  0.68200  0.78045  0.71823  0.79029  0.75660
