epoch  train_CROSS_ENTROPY  test_CROSS_ENTROPY  train_r2  test_r2  train_acc  test_acc  train_auprc  test_auprc  train_auroc  test_auroc

0  0.73301  0.72378  0.01322  0.00558  0.53323  0.51200  0.62475  0.61640  0.66575  0.63583
1  0.72687  0.71790  0.07632  0.06306  0.65367  0.62600  0.65789  0.64460  0.70876  0.68525
2  0.69779  0.69320  0.15017  0.09252  0.66567  0.62800  0.69630  0.68121  0.73054  0.69795
3  0.71566  0.71109  0.14840  0.10759  0.67066  0.64000  0.70403  0.69176  0.74914  0.70563
4  0.71761  0.71236  0.13476  0.10002  0.64068  0.61200  0.70175  0.68651  0.73418  0.69013
5  0.68718  0.68260  0.21061  0.16407  0.70215  0.68000  0.73124  0.71784  0.76505  0.73627
6  0.69943  0.69479  0.12997  0.08542  0.65917  0.64200  0.72556  0.70092  0.74942  0.70707
7  0.68289  0.68192  0.19096  0.10813  0.67766  0.62600  0.74190  0.70538  0.76692  0.72438
8  0.73322  0.72836  0.04997  0.01414  0.60170  0.57800  0.67320  0.63516  0.70805  0.64955
9  0.68613  0.68599  0.23650  0.15006  0.72064  0.68400  0.77393  0.73752  0.80093  0.74575
10  0.68136  0.67811  0.21163  0.15080  0.70065  0.68000  0.75853  0.73687  0.77822  0.74031
11  0.70926  0.70494  0.07500  0.03294  0.65917  0.65400  0.72293  0.70206  0.74338  0.70163
12  0.68514  0.68335  0.14645  0.07164  0.67866  0.63800  0.74916  0.72622  0.75437  0.71672
13  0.67759  0.67856  0.30470  0.21771  0.75112  0.70600  0.80360  0.77062  0.82214  0.77108
14  0.68090  0.68289  0.12254  0.01777  0.65217  0.60200  0.72082  0.67855  0.75645  0.70465
15  0.66737  0.66670  0.27725  0.19241  0.73013  0.69600  0.79288  0.77418  0.81790  0.77730
16  0.67026  0.66866  0.31614  0.24928  0.75212  0.71400  0.81303  0.79157  0.82643  0.79653
17  0.67706  0.67346  0.31179  0.27063  0.74813  0.72800  0.81238  0.79778  0.82860  0.80090
18  0.66920  0.66361  0.32949  0.29649  0.75662  0.73400  0.81772  0.80264  0.83203  0.81172
19  0.73264  0.72240  -0.03211  -0.01957  0.61919  0.63000  0.75649  0.72847  0.75957  0.71879
20  0.66965  0.67024  0.21410  0.13065  0.71514  0.68600  0.77279  0.74711  0.78251  0.74466
21  0.70050  0.69226  0.06435  0.05690  0.68866  0.67200  0.73047  0.72354  0.75536  0.72984
22  0.68802  0.69088  0.16234  0.05507  0.67866  0.63600  0.76420  0.73051  0.75429  0.69430
23  0.66256  0.66392  0.23192  0.13173  0.72414  0.66400  0.78858  0.76621  0.79620  0.76480
24  0.67144  0.66658  0.31375  0.27531  0.75262  0.73800  0.81098  0.79814  0.82290  0.80087
25  0.69927  0.70017  -0.05588  -0.13935  0.59170  0.56200  0.61619  0.58159  0.60625  0.56097
26  0.68782  0.68006  0.19525  0.17394  0.69815  0.67800  0.76309  0.75714  0.78009  0.75889
27  0.68278  0.68696  0.27373  0.17024  0.72914  0.67600  0.79917  0.75010  0.80209  0.73919
28  0.70332  0.70217  0.16290  0.10119  0.68116  0.64400  0.73472  0.68923  0.73986  0.68824
29  0.66025  0.66625  0.21960  0.08956  0.71214  0.65200  0.78375  0.74415  0.79502  0.74530
30  0.69938  0.69633  0.21030  0.15757  0.69365  0.68000  0.79924  0.75077  0.80714  0.75278
31  0.72623  0.71911  0.01073  -0.00759  0.62919  0.63600  0.72763  0.69680  0.73925  0.68989
32  0.67017  0.67000  0.34754  0.27694  0.77261  0.74000  0.82984  0.79634  0.84647  0.80470
33  0.66461  0.66113  0.34817  0.28933  0.77261  0.73800  0.82833  0.81042  0.84118  0.81184
34  0.65643  0.66070  0.23688  0.10585  0.71814  0.67000  0.80432  0.76817  0.81746  0.76867
35  0.65421  0.65689  0.34942  0.23871  0.77111  0.70800  0.83017  0.79576  0.84914  0.80425
36  0.68281  0.67715  0.24508  0.21439  0.72214  0.69600  0.81938  0.80518  0.83135  0.80327
37  0.66576  0.66414  0.36787  0.30447  0.77711  0.74200  0.84134  0.81454  0.85071  0.81758
38  0.65925  0.66504  0.18062  0.04615  0.70215  0.66600  0.78849  0.74766  0.79740  0.73566
39  0.67267  0.67938  0.31093  0.18959  0.75112  0.69800  0.80955  0.75044  0.82190  0.75462
40  0.66112  0.66516  0.30436  0.20231  0.74363  0.70000  0.81018  0.77320  0.81825  0.76845
41  0.67227  0.66856  0.28357  0.23636  0.73963  0.71400  0.79934  0.79081  0.80643  0.77703
42  0.65943  0.66186  0.19812  0.07632  0.70015  0.65000  0.81439  0.78867  0.82821  0.78353
43  0.64801  0.65035  0.41946  0.32091  0.80060  0.73600  0.85935  0.82252  0.87171  0.82765
44  0.68195  0.68885  0.11385  -0.02276  0.67416  0.61600  0.70877  0.65123  0.71128  0.64255
45  0.73126  0.72628  -0.03539  -0.06218  0.62819  0.60400  0.73579  0.71739  0.74722  0.70174
46  0.67808  0.67337  0.28066  0.24664  0.73463  0.70200  0.81365  0.79338  0.82755  0.79794
47  0.68285  0.67485  0.24183  0.23011  0.70215  0.70000  0.78074  0.78337  0.78774  0.78099
48  0.65332  0.65381  0.40327  0.31561  0.79260  0.75200  0.85584  0.83001  0.86996  0.82991
49  0.65252  0.65335  0.40546  0.31860  0.79260  0.74600  0.86503  0.82678  0.87554  0.83100
50  0.64006  0.64393  0.33522  0.21024  0.75862  0.71600  0.84581  0.80605  0.85716  0.81437
51  0.68371  0.68066  0.28811  0.23962  0.74313  0.71200  0.81815  0.78737  0.82715  0.79024
52  0.65189  0.65181  0.34698  0.25857  0.76012  0.73200  0.84455  0.81912  0.85087  0.81400
53  0.65011  0.65428  0.38592  0.27665  0.77911  0.74600  0.84996  0.81469  0.85769  0.80681
54  0.73538  0.72395  -0.18842  -0.16874  0.62969  0.64200  0.65297  0.68740  0.73005  0.72298
55  0.65057  0.65510  0.34455  0.23985  0.76562  0.72000  0.83308  0.80329  0.84170  0.79719
56  0.65745  0.65335  0.32703  0.26849  0.75112  0.71600  0.82485  0.79213  0.83240  0.80985
57  0.67555  0.67001  0.27320  0.25161  0.74713  0.72200  0.78556  0.80077  0.81430  0.79884
58  0.66654  0.66059  0.35176  0.32828  0.77461  0.76400  0.84561  0.83342  0.84801  0.83324
59  0.66707  0.66304  0.29805  0.24821  0.74613  0.72400  0.78367  0.77492  0.81731  0.79117
