epoch  train_CROSS_ENTROPY  test_CROSS_ENTROPY  train_r2  test_r2  train_acc  test_acc  train_auprc  test_auprc  train_auroc  test_auroc

0  0.74772  0.74440  -0.03350  -0.03100  0.46977  0.47600  0.36978  0.35495  0.34611  0.30533
1  0.73769  0.73390  0.03265  0.04167  0.61719  0.63000  0.64053  0.66408  0.69570  0.71446
2  0.71630  0.71359  0.11840  0.12981  0.64868  0.65800  0.68379  0.71470  0.70862  0.72578
3  0.70033  0.69515  0.12698  0.16133  0.63118  0.66600  0.68844  0.71725  0.71840  0.74452
4  0.69339  0.69017  0.14454  0.17305  0.65717  0.67000  0.70005  0.70578  0.72700  0.74301
5  0.69314  0.68970  0.17666  0.20212  0.66867  0.70800  0.71672  0.73618  0.74148  0.76700
6  0.71105  0.71096  0.15489  0.14466  0.67716  0.67000  0.73568  0.73663  0.75363  0.75289
7  0.69869  0.70048  0.20280  0.17842  0.68766  0.66800  0.74953  0.71961  0.76737  0.74030
8  0.68312  0.68017  0.19279  0.21829  0.69215  0.70800  0.74258  0.75144  0.75933  0.77661
9  0.68955  0.68774  0.21184  0.22044  0.69265  0.69400  0.74444  0.74285  0.76333  0.77293
10  0.69110  0.69445  0.20370  0.17894  0.69415  0.66600  0.72092  0.69663  0.75903  0.73950
11  0.68633  0.68882  0.23330  0.21157  0.70215  0.66400  0.76864  0.75089  0.78886  0.77159
12  0.71468  0.71376  0.00315  0.00323  0.62919  0.63000  0.71360  0.72311  0.71751  0.73502
13  0.69022  0.69102  0.18570  0.16937  0.68616  0.68600  0.76020  0.73082  0.77245  0.76304
14  0.70972  0.71188  0.14699  0.11474  0.67066  0.67600  0.70119  0.64659  0.73833  0.71218
15  0.67398  0.67462  0.22335  0.21663  0.71614  0.69600  0.77476  0.76637  0.79280  0.79376
16  0.66921  0.67134  0.30698  0.28300  0.74813  0.74000  0.81205  0.76820  0.82069  0.80497
17  0.70990  0.71398  0.12218  0.07202  0.65217  0.61600  0.69395  0.63384  0.71283  0.67347
18  0.68663  0.69150  0.24672  0.19623  0.72014  0.70600  0.77362  0.72097  0.78936  0.75961
19  0.67738  0.67781  0.25563  0.24069  0.72364  0.72400  0.78136  0.75972  0.79455  0.78960
20  0.67703  0.67810  0.19241  0.17657  0.68316  0.69000  0.76548  0.74734  0.78383  0.77032
21  0.70556  0.71578  0.09080  -0.00827  0.64968  0.59000  0.68028  0.60041  0.69211  0.62466
22  0.71595  0.71402  -0.01582  -0.01350  0.65517  0.67800  0.69435  0.70048  0.71207  0.72764
23  0.68252  0.69037  0.28428  0.22118  0.73763  0.70600  0.79908  0.74082  0.81799  0.78172
24  0.67227  0.67654  0.29160  0.25322  0.74363  0.73800  0.80867  0.75503  0.81315  0.79117
25  0.68531  0.68930  0.24776  0.20187  0.70915  0.68600  0.77447  0.73134  0.79031  0.76633
26  0.68519  0.68948  0.28016  0.22894  0.73463  0.71600  0.81392  0.77349  0.82728  0.80363
27  0.67220  0.67464  0.29899  0.27227  0.74713  0.73600  0.80776  0.78291  0.82183  0.81484
28  0.67119  0.67466  0.20352  0.15369  0.69465  0.68000  0.76398  0.72702  0.77743  0.74864
29  0.68454  0.69023  0.23249  0.17590  0.71764  0.69600  0.77901  0.74452  0.79634  0.77665
30  0.65475  0.66278  0.36384  0.29989  0.77061  0.75400  0.84013  0.79068  0.85164  0.81453
31  0.65768  0.66426  0.35870  0.30491  0.76512  0.73200  0.83551  0.79339  0.84892  0.82225
32  0.68298  0.69038  0.28541  0.21648  0.71964  0.69200  0.84100  0.80036  0.84790  0.81939
33  0.68371  0.68165  0.19853  0.19476  0.69265  0.71200  0.77599  0.75857  0.77402  0.77638
34  0.67686  0.68714  0.23985  0.14087  0.72714  0.67800  0.77719  0.70145  0.78034  0.72535
35  0.66562  0.67483  0.32626  0.24660  0.75262  0.72400  0.82429  0.75091  0.83158  0.78913
36  0.68174  0.68731  0.25237  0.20030  0.71914  0.70400  0.81510  0.77170  0.83485  0.81205
37  0.65813  0.66735  0.37381  0.30214  0.77611  0.75400  0.84305  0.78123  0.85249  0.81705
38  0.66571  0.67675  0.24765  0.14749  0.72164  0.67000  0.77272  0.71297  0.80054  0.75080
39  0.65664  0.66786  0.37240  0.28318  0.77761  0.74800  0.84317  0.79461  0.85603  0.81784
40  0.67930  0.68800  0.29169  0.20964  0.74013  0.72200  0.80968  0.74803  0.82561  0.78320
41  0.68683  0.69721  0.22340  0.13719  0.71464  0.70600  0.82865  0.77208  0.83318  0.79870
42  0.66897  0.66682  0.27571  0.27976  0.73063  0.73200  0.79414  0.77922  0.80433  0.80586
43  0.64773  0.65460  0.36600  0.30941  0.77811  0.76000  0.84368  0.79907  0.85232  0.82355
44  0.64943  0.65819  0.34145  0.26606  0.75312  0.72800  0.84247  0.78829  0.85272  0.81641
45  0.66601  0.67529  0.30740  0.22152  0.75112  0.73600  0.82103  0.74620  0.83584  0.79263
46  0.66017  0.67161  0.31270  0.22004  0.75212  0.71200  0.81914  0.74400  0.82707  0.78400
47  0.67033  0.67803  0.28686  0.20871  0.73313  0.72400  0.79479  0.71562  0.80944  0.76868
48  0.66828  0.67253  0.30596  0.24924  0.74513  0.72600  0.81705  0.77858  0.82770  0.80412
49  0.64948  0.66205  0.40928  0.30089  0.78611  0.73600  0.85802  0.78398  0.87001  0.82348
50  0.68216  0.69420  0.29986  0.19965  0.74863  0.68800  0.80731  0.74683  0.82451  0.76708
