epoch  train_CROSS_ENTROPY  test_CROSS_ENTROPY  train_r2  test_r2  train_acc  test_acc  train_auprc  test_auprc  train_auroc  test_auroc

0  0.72038  0.72648  -0.01660  -0.00363  0.52574  0.54200  0.62026  0.62195  0.63775  0.66076
1  0.72226  0.73044  0.05260  0.05024  0.58521  0.60400  0.65265  0.63776  0.70603  0.69291
2  0.72360  0.73420  0.08980  0.07001  0.62819  0.60200  0.66104  0.65486  0.69933  0.70156
3  0.70575  0.71802  0.14291  0.11002  0.65867  0.63800  0.67098  0.66088  0.71725  0.70871
4  0.70707  0.71762  0.15211  0.13318  0.66917  0.65200  0.69663  0.70241  0.72861  0.73361
5  0.68998  0.69611  0.13406  0.15195  0.65367  0.69000  0.69113  0.70345  0.73192  0.74084
6  0.70109  0.71016  0.16709  0.16094  0.67216  0.66000  0.70654  0.72508  0.73581  0.74711
7  0.69592  0.70476  0.15903  0.15940  0.65567  0.67400  0.68494  0.70424  0.72881  0.73258
8  0.71254  0.72033  0.14775  0.14923  0.65767  0.65000  0.70187  0.72902  0.75301  0.77189
9  0.69121  0.69940  0.19267  0.18974  0.67516  0.67200  0.72972  0.73718  0.75462  0.76205
10  0.69093  0.69795  0.19666  0.19855  0.68716  0.67600  0.72939  0.73363  0.75758  0.76753
11  0.70275  0.71265  0.14084  0.12482  0.65667  0.65600  0.72408  0.72819  0.74623  0.75647
12  0.67867  0.68302  0.14640  0.18507  0.66467  0.71000  0.73868  0.74832  0.74845  0.75829
13  0.69398  0.70862  0.11828  0.07267  0.64818  0.63000  0.74482  0.73747  0.74783  0.73575
14  0.70455  0.71165  0.14291  0.13686  0.64718  0.65600  0.67978  0.66133  0.71680  0.71248
15  0.68654  0.69882  0.21375  0.18512  0.68616  0.68000  0.76616  0.75151  0.76956  0.75726
16  0.72572  0.73421  0.03429  0.02219  0.60170  0.60000  0.66126  0.64125  0.68837  0.67507
17  0.68896  0.69851  0.23473  0.22479  0.69715  0.71600  0.79340  0.78891  0.80130  0.80630
18  0.69523  0.70841  0.15990  0.12376  0.67916  0.68600  0.76239  0.75684  0.77265  0.76751
19  0.69947  0.70799  0.20024  0.18404  0.68216  0.66600  0.78602  0.78410  0.79217  0.78830
20  0.66964  0.67797  0.26353  0.26600  0.72364  0.73200  0.79339  0.78722  0.79653  0.79627
21  0.66475  0.67380  0.33752  0.31812  0.76262  0.75200  0.82371  0.81711  0.83557  0.82541
22  0.70988  0.72164  0.13230  0.09615  0.64218  0.63200  0.80621  0.78649  0.81695  0.80546
23  0.67360  0.68413  0.25556  0.24650  0.71314  0.73400  0.78408  0.76575  0.79141  0.78796
24  0.66678  0.66778  0.06546  0.12299  0.66467  0.70600  0.73772  0.74203  0.75924  0.76898
25  0.67969  0.68655  0.19604  0.21137  0.67566  0.71000  0.74681  0.74257  0.76722  0.76809
26  0.67796  0.68343  0.04703  0.04183  0.63868  0.65000  0.71071  0.69954  0.73466  0.71679
27  0.67868  0.68942  0.24360  0.22568  0.71614  0.71800  0.76408  0.76464  0.78364  0.77697
28  0.67863  0.68446  0.18926  0.21729  0.67816  0.71000  0.75631  0.75717  0.76112  0.76703
29  0.68736  0.70073  0.15456  0.11164  0.68866  0.67800  0.71233  0.68357  0.74668  0.73161
30  0.66902  0.67805  0.33421  0.31487  0.76312  0.76400  0.82528  0.80734  0.83677  0.82689
31  0.67272  0.68013  0.29873  0.30278  0.74013  0.74800  0.80926  0.81040  0.81747  0.82177
32  0.66473  0.67468  0.35920  0.33024  0.77511  0.76000  0.83546  0.82535  0.84848  0.83317
33  0.65869  0.66977  0.28409  0.25037  0.74663  0.74000  0.79570  0.78227  0.81513  0.80562
34  0.68453  0.69854  0.25087  0.19173  0.72464  0.71000  0.78338  0.75703  0.80238  0.78061
35  0.65779  0.67078  0.27309  0.22336  0.73263  0.72000  0.80260  0.77737  0.81053  0.79281
36  0.66930  0.67791  0.26905  0.24766  0.71964  0.71400  0.78827  0.77938  0.80676  0.78830
37  0.66736  0.67928  0.27683  0.24040  0.73463  0.72600  0.80204  0.78213  0.81140  0.79897
38  0.70026  0.71803  0.07580  0.00501  0.64468  0.64000  0.76145  0.73147  0.75507  0.73077
39  0.66018  0.66874  0.26840  0.26339  0.73263  0.73400  0.80030  0.79740  0.80836  0.80327
40  0.68070  0.68771  0.27811  0.26488  0.72464  0.72400  0.80798  0.79099  0.81417  0.80709
41  0.71162  0.72840  0.08833  0.01222  0.65567  0.63400  0.74934  0.70965  0.76100  0.73372
42  0.68092  0.68873  0.24811  0.23261  0.70815  0.72400  0.77027  0.76295  0.78998  0.78182
43  0.69277  0.71222  0.18642  0.08945  0.70015  0.66200  0.77727  0.74143  0.79460  0.75920
44  0.68304  0.69634  0.25638  0.20339  0.71214  0.70800  0.81446  0.78599  0.82315  0.80021
45  0.65876  0.66782  0.32802  0.30351  0.75662  0.74800  0.81264  0.80256  0.83277  0.82086
