epoch  train_CROSS_ENTROPY  test_CROSS_ENTROPY  train_r2  test_r2  train_acc  test_acc  train_auprc  test_auprc  train_auroc  test_auroc

0  0.71704  0.71688  -0.10375  -0.09291  0.52824  0.53200  0.45237  0.46695  0.45105  0.47492
1  0.72302  0.72597  0.07297  0.06258  0.64668  0.63200  0.67683  0.62101  0.71810  0.68701
2  0.70507  0.71116  0.14601  0.10832  0.66667  0.65000  0.70037  0.64469  0.72691  0.68848
3  0.71403  0.71898  0.12856  0.10100  0.63468  0.62400  0.69844  0.66743  0.71330  0.68411
4  0.68272  0.68744  -0.08827  -0.11625  0.58171  0.56400  0.67585  0.64416  0.71543  0.68778
5  0.68880  0.69454  0.15672  0.12603  0.66217  0.64000  0.72496  0.70392  0.74586  0.71962
6  0.69335  0.69755  0.18596  0.16825  0.67716  0.65200  0.72578  0.72405  0.75577  0.73003
7  0.67947  0.68973  0.19142  0.12896  0.67716  0.63400  0.74175  0.66778  0.76440  0.72372
8  0.67898  0.68222  0.08931  0.07318  0.63868  0.64000  0.71824  0.71150  0.74025  0.72188
9  0.67998  0.68543  0.13959  0.10849  0.65717  0.64400  0.74479  0.72614  0.75718  0.73578
10  0.68674  0.69212  0.14883  0.12619  0.67166  0.64800  0.72449  0.70594  0.75416  0.73151
11  0.71352  0.71822  0.13231  0.10064  0.66167  0.66000  0.71872  0.66191  0.75004  0.72057
12  0.69748  0.70038  0.19020  0.18106  0.70215  0.67200  0.74003  0.74939  0.76569  0.75130
13  0.68675  0.69022  0.21976  0.20082  0.69465  0.68000  0.76527  0.75633  0.78933  0.77339
14  0.68260  0.69397  0.24320  0.17127  0.71364  0.67200  0.77078  0.69724  0.78385  0.74489
15  0.73749  0.74284  -0.02566  -0.05529  0.58821  0.57400  0.70691  0.67078  0.69048  0.67229
16  0.67779  0.68108  0.26977  0.26806  0.73113  0.73600  0.78962  0.78342  0.80357  0.80202
17  0.68049  0.69118  0.26800  0.20929  0.72814  0.70800  0.81028  0.77293  0.81857  0.79196
18  0.68939  0.69210  0.19050  0.17739  0.68766  0.68800  0.74039  0.72342  0.75836  0.75182
19  0.69824  0.70398  0.21168  0.17331  0.71164  0.69000  0.76786  0.73621  0.77239  0.73885
20  0.67078  0.67986  0.22772  0.17753  0.70515  0.70200  0.77873  0.73649  0.77993  0.75498
21  0.66440  0.67007  0.32515  0.30268  0.75512  0.75800  0.81868  0.78588  0.82691  0.81492
22  0.66173  0.66517  0.30515  0.28748  0.74463  0.72600  0.81328  0.78439  0.82065  0.81475
23  0.70729  0.70979  0.14730  0.14326  0.66067  0.67400  0.77783  0.74015  0.77374  0.76314
24  0.66952  0.67772  0.33663  0.28857  0.76212  0.74600  0.83399  0.78333  0.83797  0.81187
25  0.68398  0.69530  0.27117  0.19685  0.72564  0.70000  0.80922  0.73407  0.81986  0.77969
26  0.67464  0.69310  0.27937  0.15297  0.73363  0.66200  0.80215  0.72130  0.80871  0.75071
27  0.66818  0.68235  0.27451  0.18197  0.73663  0.68800  0.80754  0.74016  0.79101  0.74730
28  0.68483  0.69491  0.26936  0.20459  0.72864  0.70600  0.80520  0.73290  0.81156  0.77537
29  0.66654  0.67116  0.33880  0.32050  0.76612  0.76400  0.82749  0.80290  0.83546  0.82018
30  0.66368  0.67587  0.30890  0.22812  0.74413  0.70400  0.82515  0.75961  0.82476  0.79285
31  0.65940  0.66722  0.38011  0.33748  0.78561  0.77400  0.85428  0.81230  0.85522  0.83500
32  0.67182  0.68730  0.31472  0.21150  0.74863  0.70600  0.83137  0.76516  0.84614  0.79858
33  0.65917  0.66614  0.31257  0.26237  0.73913  0.72400  0.83185  0.79265  0.83702  0.81335
34  0.65828  0.68040  0.31314  0.16302  0.75512  0.68600  0.81197  0.72163  0.82290  0.75938
35  0.66394  0.68168  0.36753  0.25431  0.77361  0.72800  0.85237  0.77150  0.85888  0.80319
36  0.68543  0.70159  0.18445  0.08766  0.68916  0.64800  0.79658  0.72796  0.78006  0.73334
37  0.68573  0.70343  0.22740  0.11461  0.71914  0.67800  0.81972  0.73123  0.82682  0.77432
38  0.68980  0.70077  0.20779  0.13318  0.68866  0.65200  0.75546  0.66884  0.76568  0.71700
39  0.70608  0.71881  0.10406  0.01114  0.63518  0.59200  0.70156  0.63667  0.71977  0.67062
40  0.69375  0.70725  0.19092  0.08883  0.68516  0.65000  0.79193  0.72754  0.79280  0.73863
41  0.66166  0.67760  0.32371  0.20534  0.75412  0.70800  0.82572  0.74858  0.82874  0.76930
42  0.65606  0.66997  0.30729  0.22818  0.74463  0.73000  0.83480  0.78464  0.82468  0.78816
43  0.68608  0.69976  0.26707  0.17472  0.72714  0.67200  0.81237  0.74112  0.81119  0.76067
44  0.65754  0.67491  0.31280  0.20108  0.74613  0.70400  0.83075  0.76652  0.82636  0.77518
45  0.69592  0.69325  0.06871  0.08511  0.64768  0.67600  0.72025  0.70971  0.69008  0.69290
46  0.65893  0.68002  0.36340  0.22342  0.76462  0.70600  0.84731  0.76730  0.84869  0.78093
