epoch  train_CROSS_ENTROPY  test_CROSS_ENTROPY  train_r2  test_r2  train_acc  test_acc  train_auprc  test_auprc  train_auroc  test_auroc

0  0.73904  0.74750  -0.01651  -0.02367  0.45677  0.44800  0.44074  0.40813  0.43992  0.42479
1  0.71879  0.72634  0.05204  0.05399  0.54973  0.57000  0.73028  0.70662  0.76362  0.74376
2  0.69680  0.70862  0.23058  0.19945  0.71214  0.68600  0.78886  0.75647  0.79858  0.77059
3  0.65334  0.66225  0.29896  0.27251  0.74213  0.74600  0.83625  0.81319  0.83819  0.80597
4  0.69605  0.71369  0.14990  0.06975  0.66017  0.64800  0.82443  0.79796  0.80924  0.77805
5  0.63661  0.65243  0.47086  0.39533  0.82809  0.80200  0.88655  0.85948  0.89198  0.85432
6  0.63435  0.64714  0.45011  0.40267  0.79710  0.78400  0.88641  0.87648  0.88810  0.86848
7  0.62765  0.64654  0.53088  0.44204  0.84058  0.79200  0.91454  0.88432  0.91675  0.87486
8  0.62188  0.63442  0.54520  0.49585  0.83708  0.83400  0.91903  0.90250  0.92147  0.89486
9  0.62291  0.63541  0.51028  0.44844  0.83158  0.80200  0.90035  0.87773  0.91321  0.87815
10  0.60740  0.61815  0.52546  0.47742  0.82909  0.82200  0.91850  0.89769  0.92063  0.89120
11  0.61448  0.63410  0.57469  0.47427  0.85307  0.81400  0.93210  0.90743  0.93371  0.89905
12  0.60194  0.61652  0.61376  0.54635  0.86707  0.86200  0.94034  0.91740  0.94143  0.90880
13  0.60878  0.63185  0.55412  0.43626  0.84258  0.80400  0.92296  0.88090  0.92342  0.87976
14  0.59738  0.60926  0.53260  0.46193  0.83008  0.82400  0.93124  0.90422  0.93334  0.89890
15  0.60636  0.62413  0.62110  0.52176  0.87856  0.83800  0.94506  0.91371  0.94441  0.90246
16  0.58848  0.60120  0.62502  0.55099  0.87406  0.86200  0.94634  0.92165  0.94806  0.91561
17  0.61053  0.63840  0.55190  0.39419  0.84608  0.80000  0.92628  0.87879  0.92852  0.87924
18  0.59458  0.61019  0.64822  0.57140  0.88056  0.86000  0.95170  0.92653  0.95114  0.91935
19  0.58576  0.60307  0.65908  0.55950  0.88106  0.86400  0.95677  0.92709  0.95657  0.91531
20  0.57974  0.59749  0.70240  0.58843  0.89705  0.86800  0.96272  0.93319  0.96335  0.92367
21  0.58802  0.61121  0.65767  0.50111  0.88006  0.83400  0.96144  0.91039  0.96145  0.90093
22  0.59250  0.61289  0.65694  0.55433  0.87856  0.84600  0.95598  0.92018  0.95711  0.91750
23  0.57398  0.59266  0.69600  0.56699  0.89555  0.85600  0.96587  0.93458  0.96568  0.92770
24  0.57462  0.59579  0.73510  0.59988  0.91304  0.86800  0.97113  0.93971  0.97128  0.93331
25  0.58330  0.61115  0.69165  0.51754  0.89655  0.83400  0.96618  0.93023  0.96559  0.91846
26  0.57564  0.59765  0.73350  0.59173  0.91154  0.85600  0.97206  0.93502  0.97133  0.92581
27  0.56804  0.59302  0.76407  0.61115  0.92454  0.86400  0.97552  0.94055  0.97534  0.93285
28  0.57079  0.59485  0.75677  0.59854  0.91854  0.86200  0.97682  0.93543  0.97654  0.92613
29  0.56624  0.59389  0.77713  0.60115  0.92604  0.87400  0.97902  0.93906  0.97853  0.93121
30  0.58045  0.60494  0.71337  0.56737  0.89955  0.85000  0.96771  0.92526  0.96667  0.91448
31  0.56457  0.58654  0.74709  0.59853  0.91104  0.87200  0.97731  0.94059  0.97742  0.93202
32  0.57079  0.59520  0.71410  0.55901  0.89755  0.85600  0.96991  0.93021  0.96966  0.92365
33  0.57767  0.61501  0.74959  0.52207  0.91254  0.83200  0.98159  0.93449  0.98125  0.92726
34  0.56837  0.59908  0.78462  0.59229  0.92954  0.85400  0.98133  0.94050  0.98147  0.93298
35  0.55780  0.58788  0.81140  0.60887  0.93653  0.86400  0.98567  0.94202  0.98546  0.93353
36  0.55984  0.59027  0.77828  0.58268  0.92354  0.87200  0.98137  0.93434  0.98075  0.92623
37  0.55562  0.58027  0.80227  0.63849  0.92754  0.88000  0.98443  0.94777  0.98451  0.93895
38  0.56165  0.59706  0.81480  0.59252  0.93853  0.86600  0.98592  0.93617  0.98611  0.92854
39  0.55577  0.58540  0.80546  0.60301  0.93353  0.87000  0.98482  0.93913  0.98425  0.92987
40  0.55647  0.58659  0.81618  0.60742  0.93653  0.86200  0.98662  0.94083  0.98612  0.93229
41  0.55766  0.58824  0.81121  0.60551  0.93703  0.87000  0.98479  0.94109  0.98470  0.93305
42  0.55375  0.58294  0.82452  0.62944  0.93653  0.87400  0.98713  0.94621  0.98702  0.93840
43  0.55368  0.58919  0.82918  0.59682  0.94403  0.87600  0.98711  0.93866  0.98673  0.93136
44  0.55196  0.58257  0.83838  0.63519  0.94803  0.87600  0.98928  0.94545  0.98916  0.93577
45  0.55116  0.58546  0.83167  0.59350  0.94253  0.86800  0.98775  0.94249  0.98720  0.93459
46  0.54753  0.58121  0.84535  0.62771  0.95052  0.87600  0.98976  0.94653  0.98962  0.93706
47  0.55305  0.59543  0.84870  0.56756  0.94553  0.85800  0.99152  0.93778  0.99118  0.92926
48  0.54601  0.57938  0.84198  0.60632  0.94853  0.87600  0.98969  0.94081  0.98916  0.93015
49  0.54686  0.58535  0.85166  0.60938  0.95252  0.87400  0.99025  0.94195  0.98999  0.93437
50  0.54742  0.58291  0.87257  0.63553  0.95852  0.89200  0.99318  0.94272  0.99292  0.93103
51  0.54632  0.58275  0.83697  0.59251  0.94003  0.86800  0.98946  0.93983  0.98903  0.93492
52  0.54978  0.59009  0.85554  0.58209  0.95252  0.86400  0.99192  0.94098  0.99180  0.93269
53  0.54286  0.58252  0.88556  0.61502  0.96202  0.87800  0.99391  0.94230  0.99360  0.93648
54  0.54107  0.57705  0.87467  0.62401  0.95852  0.88800  0.99347  0.94571  0.99335  0.93796
55  0.54351  0.58852  0.89414  0.60200  0.96352  0.87800  0.99511  0.94142  0.99493  0.93439
56  0.53717  0.57549  0.88563  0.60346  0.96252  0.88000  0.99489  0.94411  0.99470  0.93758
57  0.54153  0.57794  0.87316  0.62009  0.95802  0.87600  0.99335  0.94260  0.99308  0.93276
58  0.54244  0.58202  0.86679  0.58568  0.95352  0.87600  0.99258  0.93592  0.99273  0.92739
59  0.54473  0.58117  0.83289  0.59227  0.94353  0.87200  0.99050  0.93815  0.99027  0.92953
60  0.54587  0.57875  0.86654  0.64073  0.95602  0.89000  0.99232  0.94521  0.99224  0.93683
