epoch  train_CROSS_ENTROPY  test_CROSS_ENTROPY  train_r2  test_r2  train_acc  test_acc  train_auprc  test_auprc  train_auroc  test_auroc

0  0.74772  0.74374  -0.02765  -0.01896  0.46977  0.47600  0.51825  0.57563  0.56678  0.61797
1  0.71952  0.71864  0.04408  0.03411  0.54473  0.54600  0.66223  0.66741  0.70893  0.69509
2  0.69251  0.69328  0.17489  0.16096  0.68766  0.68600  0.77228  0.76575  0.79864  0.77415
3  0.64835  0.64815  0.29190  0.28703  0.73313  0.74400  0.83103  0.83224  0.83409  0.82810
4  0.68332  0.69248  0.28461  0.20197  0.71964  0.67400  0.85754  0.83721  0.86205  0.82816
5  0.63692  0.64328  0.42729  0.36096  0.79160  0.76800  0.87982  0.85363  0.88240  0.84789
6  0.65754  0.66210  0.36342  0.31804  0.76362  0.73000  0.87075  0.83824  0.87121  0.84268
7  0.64046  0.66401  0.39678  0.19964  0.80310  0.71800  0.89070  0.82734  0.89087  0.82784
8  0.62850  0.64155  0.53229  0.41778  0.83658  0.79200  0.91634  0.86939  0.91619  0.86914
9  0.62035  0.63555  0.52314  0.39749  0.83008  0.78000  0.91769  0.85818  0.91521  0.87458
10  0.61319  0.62610  0.37624  0.27441  0.78511  0.76000  0.90626  0.85010  0.90564  0.85434
11  0.60588  0.62114  0.58866  0.45806  0.86757  0.80400  0.93527  0.87209  0.93196  0.88910
12  0.62053  0.63523  0.56615  0.42801  0.85157  0.78800  0.93310  0.89055  0.93216  0.88761
13  0.60356  0.61770  0.56725  0.43424  0.85207  0.80800  0.93509  0.89092  0.93342  0.88615
14  0.59454  0.61645  0.62623  0.42810  0.87306  0.80000  0.94199  0.89143  0.94176  0.88700
15  0.61581  0.63818  0.57668  0.39775  0.85257  0.76600  0.93006  0.86909  0.92937  0.86588
16  0.59538  0.61135  0.55470  0.43193  0.84958  0.81200  0.92882  0.89343  0.93063  0.89146
17  0.60867  0.62818  0.58791  0.42136  0.85657  0.79000  0.93267  0.87800  0.93229  0.87494
18  0.59264  0.61505  0.63488  0.44722  0.87506  0.80800  0.94686  0.89835  0.94524  0.88789
