epoch  train_CROSS_ENTROPY  test_CROSS_ENTROPY  train_r2  test_r2  train_acc  test_acc  train_auprc  test_auprc  train_auroc  test_auroc

0  0.74391  0.74343  -0.01557  -0.01607  0.46827  0.47200  0.52150  0.53006  0.58680  0.60406
1  0.73426  0.73346  0.04038  0.04116  0.65817  0.66200  0.66090  0.68926  0.72483  0.72102
2  0.68730  0.68892  0.21236  0.18890  0.69015  0.70600  0.78705  0.77763  0.80691  0.78636
3  0.66420  0.66482  0.33279  0.30034  0.75162  0.74600  0.82596  0.81849  0.83536  0.81044
4  0.64798  0.65562  0.28315  0.21804  0.73863  0.72800  0.83681  0.78696  0.83961  0.80307
5  0.63696  0.64431  0.42623  0.35202  0.79360  0.77000  0.87812  0.83749  0.88179  0.84209
6  0.62915  0.63793  0.43461  0.36659  0.80610  0.79000  0.88300  0.84228  0.88383  0.85148
7  0.62950  0.64128  0.50924  0.41825  0.82459  0.79600  0.90645  0.85645  0.90929  0.86535
8  0.61452  0.62418  0.47151  0.38180  0.80010  0.77000  0.91392  0.86563  0.91860  0.87169
9  0.62525  0.64122  0.51101  0.37726  0.82809  0.79400  0.90515  0.84065  0.90727  0.84801
10  0.61367  0.62122  0.57176  0.50359  0.84608  0.83000  0.92643  0.88969  0.92921  0.89319
11  0.62116  0.63524  0.54378  0.44071  0.84158  0.80400  0.92572  0.87346  0.92611  0.88160
12  0.60688  0.61872  0.60092  0.50417  0.86307  0.83800  0.93700  0.88743  0.93917  0.89573
13  0.60371  0.61648  0.63385  0.51800  0.87306  0.84400  0.94809  0.89519  0.94999  0.90152
14  0.59373  0.60943  0.63962  0.50520  0.87706  0.83800  0.94559  0.89202  0.94907  0.89968
15  0.59818  0.61148  0.63900  0.52125  0.87456  0.83600  0.94981  0.89249  0.94969  0.90038
16  0.58977  0.60610  0.64180  0.50277  0.87756  0.84200  0.95336  0.89503  0.95475  0.90244
17  0.59270  0.60824  0.65834  0.52173  0.87956  0.84200  0.95432  0.89618  0.95516  0.90517
18  0.58706  0.60459  0.67827  0.53574  0.88956  0.83800  0.95677  0.89881  0.95863  0.90531
19  0.59561  0.61397  0.63310  0.48834  0.86557  0.81800  0.95416  0.89945  0.95486  0.91138
20  0.59008  0.60507  0.67544  0.54454  0.88606  0.84800  0.95631  0.90062  0.95702  0.90671
21  0.58421  0.60216  0.65570  0.51630  0.88106  0.84600  0.95417  0.89258  0.95609  0.90465
22  0.58896  0.60463  0.62964  0.46606  0.86507  0.80800  0.94981  0.88705  0.95234  0.89515
23  0.58652  0.60740  0.71869  0.54883  0.90955  0.84200  0.96889  0.90219  0.96945  0.91066
24  0.57055  0.59388  0.73396  0.53258  0.90805  0.85000  0.97234  0.90230  0.97216  0.91111
25  0.57408  0.59711  0.75899  0.57004  0.92654  0.85200  0.97552  0.90645  0.97605  0.91444
26  0.57816  0.60284  0.73759  0.52901  0.91154  0.84200  0.97247  0.90149  0.97322  0.90958
27  0.56745  0.59132  0.78468  0.57773  0.92904  0.86000  0.98035  0.90819  0.98080  0.91838
28  0.57127  0.59642  0.75314  0.54186  0.91704  0.84800  0.97436  0.89703  0.97449  0.90905
29  0.57732  0.60240  0.73585  0.52977  0.90755  0.84200  0.97148  0.89449  0.97235  0.90584
30  0.56821  0.59744  0.74653  0.52313  0.91054  0.84000  0.97473  0.91895  0.97391  0.90944
31  0.57147  0.60043  0.76119  0.52852  0.91604  0.84800  0.97795  0.90383  0.97780  0.90467
32  0.56405  0.59117  0.78143  0.54374  0.92404  0.85200  0.98074  0.91363  0.98113  0.91231
33  0.57462  0.59658  0.72843  0.54276  0.90155  0.84400  0.97088  0.91818  0.97082  0.91515
34  0.56482  0.59424  0.80027  0.56887  0.93453  0.86200  0.98347  0.90531  0.98325  0.91963
35  0.55769  0.58878  0.81373  0.53679  0.93653  0.86000  0.98587  0.90703  0.98587  0.91054
36  0.56158  0.59208  0.82091  0.57068  0.94153  0.85000  0.98675  0.90338  0.98695  0.91393
37  0.55322  0.58438  0.78423  0.52943  0.92654  0.85800  0.98237  0.90468  0.98171  0.91271
38  0.56115  0.59706  0.80097  0.52215  0.93453  0.83400  0.98349  0.89917  0.98382  0.91183
39  0.55449  0.59011  0.84732  0.56011  0.95052  0.86400  0.98944  0.90448  0.98926  0.91274
40  0.55866  0.59387  0.83299  0.55346  0.94053  0.85600  0.99000  0.90344  0.98988  0.91417
41  0.55387  0.59431  0.83944  0.51046  0.94453  0.83800  0.98887  0.89948  0.98910  0.90982
42  0.54686  0.58193  0.85521  0.56756  0.95102  0.86600  0.99066  0.91172  0.99082  0.91988
43  0.55155  0.58671  0.83845  0.53808  0.94853  0.85000  0.98796  0.90088  0.98823  0.91306
44  0.54853  0.58865  0.87056  0.55848  0.95652  0.85600  0.99281  0.90943  0.99304  0.91565
45  0.55055  0.58913  0.85173  0.55076  0.95352  0.84600  0.98947  0.91121  0.99011  0.92468
46  0.54517  0.58786  0.87387  0.53557  0.95952  0.85400  0.99300  0.90397  0.99320  0.91722
47  0.54436  0.58436  0.88587  0.55693  0.96452  0.85400  0.99399  0.91258  0.99414  0.92297
48  0.54399  0.58453  0.87057  0.54751  0.95702  0.85600  0.99279  0.91847  0.99278  0.92588
49  0.54686  0.59052  0.88269  0.53180  0.96202  0.84600  0.99424  0.91231  0.99450  0.91422
50  0.53994  0.58362  0.89784  0.53933  0.96552  0.85400  0.99506  0.91002  0.99511  0.91627
51  0.54797  0.59481  0.86581  0.51712  0.95702  0.85000  0.99190  0.91326  0.99267  0.91756
52  0.55097  0.59170  0.83008  0.49974  0.93953  0.84800  0.98980  0.90445  0.98983  0.91448
53  0.53865  0.58097  0.90248  0.56069  0.97201  0.86600  0.99589  0.90601  0.99588  0.91659
54  0.53693  0.57935  0.91354  0.56999  0.96852  0.87400  0.99628  0.92396  0.99619  0.91907
55  0.53955  0.58239  0.91036  0.56959  0.97201  0.86000  0.99652  0.92352  0.99664  0.91820
56  0.53595  0.58194  0.91555  0.54824  0.97351  0.86600  0.99677  0.90940  0.99691  0.91678
57  0.53717  0.57899  0.90808  0.56240  0.97101  0.87000  0.99572  0.91291  0.99564  0.91929
58  0.53577  0.57698  0.90848  0.58059  0.96852  0.87200  0.99622  0.92380  0.99633  0.92836
59  0.53576  0.57672  0.91824  0.59992  0.97251  0.88000  0.99680  0.92689  0.99682  0.93018
60  0.53757  0.57788  0.91246  0.56560  0.97001  0.86600  0.99678  0.92886  0.99696  0.91905
61  0.53864  0.58150  0.90944  0.56655  0.97101  0.85600  0.99621  0.92059  0.99623  0.91362
62  0.53608  0.57706  0.90766  0.55642  0.96852  0.86800  0.99723  0.91210  0.99741  0.92018
63  0.53881  0.58463  0.90248  0.54433  0.96602  0.86200  0.99608  0.92801  0.99627  0.92725
64  0.53194  0.57891  0.92163  0.53849  0.97501  0.86200  0.99722  0.91534  0.99729  0.92097
65  0.53538  0.57954  0.92092  0.57918  0.97651  0.87000  0.99705  0.92689  0.99697  0.92175
66  0.53418  0.57970  0.91101  0.53274  0.97251  0.85600  0.99700  0.92188  0.99714  0.92285
67  0.53312  0.57654  0.91838  0.55827  0.97551  0.86200  0.99708  0.92871  0.99712  0.92934
68  0.53421  0.58417  0.91095  0.51201  0.97101  0.85000  0.99670  0.92463  0.99689  0.92253
69  0.53432  0.58605  0.92479  0.50395  0.97551  0.84800  0.99731  0.91928  0.99735  0.91395
70  0.52979  0.57729  0.93911  0.56106  0.98151  0.87200  0.99831  0.93589  0.99839  0.93016
71  0.53086  0.58115  0.93962  0.54690  0.98051  0.85800  0.99835  0.93265  0.99842  0.92611
72  0.53075  0.58315  0.93752  0.53111  0.97651  0.85800  0.99804  0.92511  0.99807  0.91897
