epoch  train_CROSS_ENTROPY  test_CROSS_ENTROPY  train_r2  test_r2  train_acc  test_acc  train_auprc  test_auprc  train_auroc  test_auroc

0  0.74099  0.74980  -0.01142  -0.02143  0.47426  0.45800  0.48881  0.45895  0.50837  0.48773
1  0.71970  0.72619  0.00483  0.01340  0.52524  0.54200  0.64645  0.63181  0.67520  0.67547
2  0.72135  0.73524  0.13455  0.08553  0.64218  0.59000  0.79359  0.76111  0.80697  0.77459
3  0.65320  0.66535  0.36834  0.32575  0.77211  0.76000  0.84357  0.81380  0.85839  0.82739
4  0.64685  0.65795  0.39785  0.35889  0.77761  0.75800  0.85412  0.83452  0.86386  0.84304
5  0.64682  0.66432  0.42741  0.36580  0.80010  0.76600  0.87228  0.86032  0.87666  0.85224
6  0.64003  0.65462  0.45726  0.40061  0.80360  0.75800  0.88073  0.86435  0.88906  0.86639
7  0.65599  0.67805  0.42630  0.31861  0.78361  0.73200  0.90375  0.87104  0.90986  0.86842
8  0.63169  0.64947  0.51280  0.41868  0.82759  0.79200  0.90829  0.88060  0.91106  0.87436
9  0.61457  0.62094  0.43161  0.42135  0.79860  0.80000  0.90326  0.89009  0.90653  0.88474
10  0.61414  0.62822  0.47470  0.40318  0.81559  0.80200  0.90744  0.87579  0.90703  0.86804
11  0.63122  0.64148  0.45803  0.42728  0.79460  0.79000  0.88619  0.87464  0.89105  0.87328
12  0.61889  0.63220  0.49340  0.45238  0.81859  0.82000  0.89839  0.88644  0.90435  0.88485
13  0.60562  0.62712  0.60975  0.47960  0.86857  0.81800  0.93898  0.90207  0.93922  0.89537
14  0.60567  0.62145  0.58362  0.48818  0.85507  0.82800  0.92673  0.89793  0.93252  0.89508
15  0.60750  0.63094  0.59690  0.46027  0.86357  0.80400  0.93448  0.89269  0.93644  0.89210
16  0.60586  0.62646  0.57471  0.44929  0.84058  0.81000  0.93037  0.88370  0.93246  0.88625
17  0.60506  0.63065  0.61341  0.47485  0.86457  0.81400  0.94621  0.90857  0.94712  0.90678
18  0.59122  0.60592  0.61901  0.52376  0.87256  0.84200  0.94127  0.91491  0.94367  0.90931
19  0.60583  0.63200  0.63114  0.48763  0.88006  0.81800  0.94965  0.90577  0.95076  0.90820
20  0.58934  0.61142  0.66687  0.54176  0.89155  0.85600  0.95244  0.91289  0.95440  0.91313
21  0.59946  0.62267  0.60900  0.47950  0.86407  0.84000  0.94112  0.89126  0.94477  0.89193
22  0.58867  0.61163  0.67626  0.55601  0.88506  0.84600  0.95760  0.92133  0.95796  0.91469
23  0.58396  0.60311  0.68148  0.58394  0.88506  0.86200  0.96136  0.92748  0.96182  0.92241
24  0.58260  0.60256  0.69416  0.58819  0.89755  0.85400  0.96454  0.92511  0.96397  0.91972
25  0.59464  0.62498  0.63499  0.46850  0.87806  0.80600  0.95085  0.91289  0.95356  0.91126
26  0.57695  0.59806  0.72293  0.59483  0.90405  0.87200  0.96821  0.93392  0.96859  0.92441
27  0.57199  0.59633  0.73317  0.58894  0.91054  0.87600  0.97019  0.92551  0.97053  0.92768
28  0.57307  0.59464  0.72713  0.58917  0.90655  0.87000  0.97156  0.93095  0.97140  0.92157
29  0.57452  0.59237  0.73000  0.62856  0.90905  0.88600  0.97637  0.94390  0.97687  0.93643
30  0.56836  0.59520  0.74616  0.57819  0.91504  0.86400  0.97242  0.93480  0.97334  0.93097
31  0.57148  0.59739  0.75242  0.57176  0.91604  0.86400  0.97389  0.91880  0.97478  0.91887
32  0.56477  0.58667  0.76235  0.61097  0.91904  0.87800  0.97823  0.94090  0.97826  0.93239
33  0.56339  0.58373  0.78771  0.66383  0.92754  0.89600  0.98075  0.94331  0.98111  0.94313
34  0.56463  0.59074  0.78397  0.60827  0.92504  0.87800  0.98005  0.93775  0.98041  0.93287
35  0.55868  0.57898  0.77483  0.63926  0.92004  0.88000  0.98260  0.94600  0.98292  0.93948
36  0.57424  0.60755  0.73682  0.51774  0.90755  0.83600  0.97258  0.91661  0.97364  0.92082
37  0.56241  0.58608  0.74205  0.57181  0.90805  0.86400  0.97497  0.93095  0.97570  0.92691
38  0.56067  0.58605  0.79232  0.63498  0.92804  0.88000  0.98218  0.94688  0.98140  0.94127
39  0.55816  0.58520  0.80119  0.61395  0.93203  0.87400  0.98507  0.93712  0.98524  0.93116
40  0.55169  0.57621  0.84544  0.66499  0.94853  0.89600  0.99000  0.95133  0.98946  0.94626
41  0.55384  0.58215  0.83845  0.65160  0.94853  0.89200  0.98886  0.94685  0.98861  0.94392
42  0.54993  0.57842  0.84177  0.64752  0.94953  0.89400  0.99012  0.94370  0.98994  0.94104
43  0.54692  0.57721  0.85351  0.65155  0.95102  0.89200  0.99099  0.94406  0.99077  0.94400
44  0.54500  0.57546  0.86064  0.63684  0.95052  0.89600  0.99161  0.94805  0.99153  0.94281
45  0.54819  0.57836  0.85823  0.64491  0.95002  0.89200  0.99118  0.94213  0.99129  0.94117
46  0.55054  0.58025  0.85098  0.63409  0.94803  0.89000  0.99005  0.94256  0.99045  0.93714
