epoch  train_CROSS_ENTROPY  test_CROSS_ENTROPY  train_r2  test_r2  train_acc  test_acc  train_auprc  test_auprc  train_auroc  test_auroc

0  0.73452  0.73180  0.00140  -0.00037  0.53023  0.52400  0.50075  0.50718  0.49530  0.47848
1  0.72643  0.72398  0.03461  0.03447  0.53423  0.53800  0.70225  0.69739  0.75393  0.74615
2  0.69935  0.69953  0.22929  0.21645  0.74213  0.71800  0.80440  0.79409  0.81812  0.79662
3  0.67717  0.68155  0.31814  0.26677  0.73963  0.70200  0.83505  0.81969  0.83647  0.81088
4  0.63388  0.63502  0.33780  0.31897  0.75962  0.75800  0.84942  0.84573  0.85454  0.84641
5  0.66942  0.67102  0.39014  0.35643  0.78461  0.76800  0.87275  0.86233  0.88253  0.86790
6  0.67943  0.69078  0.28313  0.18479  0.72564  0.67200  0.87286  0.84982  0.87536  0.83777
7  0.64789  0.65699  0.40763  0.31119  0.78761  0.76200  0.86395  0.84506  0.87452  0.85030
8  0.61456  0.62165  0.42161  0.35371  0.79410  0.79000  0.90406  0.87508  0.90737  0.86901
9  0.62330  0.63402  0.54965  0.45165  0.84458  0.81000  0.91811  0.88611  0.92210  0.88617
10  0.61409  0.62783  0.57963  0.46484  0.85457  0.80400  0.92988  0.89644  0.93098  0.89505
11  0.62112  0.63373  0.50536  0.38384  0.82809  0.78800  0.90760  0.88238  0.91584  0.88434
12  0.62659  0.63838  0.55097  0.43702  0.85157  0.81200  0.92630  0.89489  0.92650  0.88981
13  0.60036  0.61526  0.56130  0.43378  0.84308  0.79600  0.92663  0.89361  0.93110  0.89204
14  0.60169  0.62053  0.64380  0.49355  0.88106  0.81600  0.94824  0.90582  0.94983  0.90581
15  0.59378  0.61088  0.61953  0.46978  0.87006  0.81000  0.94414  0.90395  0.94625  0.89977
16  0.63249  0.65025  0.51095  0.35704  0.82609  0.78400  0.94563  0.89754  0.94653  0.89881
17  0.60653  0.62491  0.58345  0.44043  0.85507  0.80800  0.93649  0.89885  0.93959  0.90020
18  0.60577  0.62014  0.57155  0.44118  0.84708  0.80400  0.93604  0.90104  0.93548  0.89801
19  0.59837  0.61869  0.64174  0.47692  0.88006  0.81400  0.94969  0.89882  0.95218  0.89927
20  0.58667  0.60815  0.69342  0.51163  0.89405  0.83200  0.96199  0.91443  0.96251  0.91499
21  0.58522  0.61292  0.69021  0.47789  0.88956  0.81800  0.96144  0.91336  0.96069  0.91095
22  0.57388  0.59980  0.71892  0.51863  0.90555  0.83600  0.96563  0.91900  0.96607  0.91791
23  0.58240  0.60437  0.71111  0.53213  0.90655  0.84000  0.96357  0.92095  0.96466  0.92049
24  0.58873  0.61183  0.71179  0.51784  0.90605  0.83800  0.97013  0.92314  0.96898  0.91977
25  0.57112  0.59818  0.74027  0.52734  0.91654  0.84200  0.97022  0.92532  0.96976  0.92097
26  0.58206  0.60791  0.69350  0.49186  0.89255  0.82800  0.96298  0.91894  0.96225  0.91775
27  0.57498  0.59949  0.75439  0.56748  0.92054  0.84400  0.97543  0.93377  0.97486  0.93244
28  0.58088  0.60374  0.72618  0.54784  0.90405  0.84600  0.96956  0.92180  0.96980  0.92196
29  0.58016  0.60575  0.73006  0.51906  0.90905  0.83600  0.96854  0.91889  0.96870  0.91561
30  0.57461  0.60067  0.72516  0.51539  0.90655  0.83800  0.97001  0.92440  0.96958  0.92172
31  0.57169  0.59760  0.77052  0.57416  0.92304  0.84400  0.97843  0.93213  0.97824  0.92722
32  0.57065  0.59951  0.75515  0.52533  0.91904  0.83800  0.97436  0.92549  0.97428  0.92410
33  0.56769  0.59652  0.77138  0.54977  0.92604  0.84400  0.97803  0.93103  0.97759  0.92710
34  0.57937  0.60027  0.74817  0.56437  0.92054  0.85000  0.97456  0.93160  0.97395  0.92942
35  0.56323  0.59357  0.79449  0.56251  0.92804  0.85400  0.98155  0.93436  0.98110  0.93008
36  0.56023  0.59093  0.80252  0.56777  0.93703  0.85200  0.98229  0.93692  0.98144  0.93592
37  0.56116  0.59395  0.79269  0.53684  0.92754  0.84600  0.98192  0.92725  0.98175  0.92180
38  0.55897  0.58517  0.79773  0.59304  0.93003  0.86600  0.98199  0.93942  0.98176  0.94063
39  0.56820  0.59211  0.74849  0.54320  0.91304  0.85000  0.97329  0.93004  0.97437  0.92783
40  0.56035  0.58990  0.81988  0.59894  0.93903  0.86800  0.98660  0.94286  0.98613  0.94138
41  0.55516  0.58891  0.82676  0.56637  0.94253  0.84600  0.98724  0.93844  0.98725  0.93167
42  0.56309  0.59095  0.79555  0.57760  0.93153  0.87400  0.98341  0.93964  0.98276  0.93778
43  0.55568  0.58769  0.83734  0.59264  0.94403  0.86200  0.98911  0.93932  0.98893  0.93818
44  0.55415  0.59221  0.85161  0.56483  0.95102  0.85000  0.99070  0.93628  0.99056  0.93144
45  0.55023  0.58666  0.82291  0.54106  0.93703  0.85000  0.98726  0.93959  0.98718  0.93349
46  0.54998  0.58557  0.83077  0.55879  0.94003  0.85200  0.98871  0.94084  0.98898  0.93863
47  0.54990  0.58193  0.86436  0.60943  0.95352  0.86600  0.99186  0.94389  0.99174  0.94265
48  0.54901  0.58244  0.87032  0.60818  0.95902  0.86800  0.99242  0.94475  0.99215  0.94183
49  0.55294  0.58943  0.84277  0.57664  0.94453  0.86400  0.98991  0.94512  0.98978  0.94223
50  0.55041  0.58719  0.86025  0.57727  0.95152  0.86600  0.99180  0.94399  0.99175  0.93991
51  0.55953  0.59196  0.80179  0.53622  0.92954  0.84800  0.98268  0.92432  0.98346  0.92160
52  0.55148  0.59005  0.85663  0.57265  0.95352  0.86400  0.99084  0.93730  0.99100  0.93444
53  0.54793  0.58286  0.85395  0.58657  0.94853  0.87000  0.99171  0.93455  0.99183  0.93460
54  0.54741  0.58575  0.84980  0.54185  0.94753  0.84600  0.99058  0.93282  0.99080  0.92941
55  0.54462  0.57935  0.87772  0.61132  0.95652  0.87000  0.99371  0.94070  0.99381  0.94130
56  0.54646  0.58436  0.86777  0.58649  0.95402  0.86400  0.99239  0.94244  0.99259  0.93989
57  0.54667  0.58677  0.88100  0.56460  0.96152  0.85400  0.99383  0.93867  0.99390  0.93359
58  0.54734  0.58098  0.88210  0.63486  0.96452  0.88000  0.99350  0.94906  0.99329  0.94588
59  0.54178  0.57890  0.88715  0.60041  0.96052  0.87000  0.99492  0.94424  0.99510  0.94121
60  0.54035  0.58036  0.88418  0.56629  0.96052  0.86000  0.99494  0.93784  0.99503  0.93518
61  0.54340  0.57893  0.86208  0.57191  0.95452  0.86800  0.99281  0.93924  0.99312  0.93293
62  0.54019  0.58231  0.89490  0.56933  0.96502  0.85400  0.99474  0.94230  0.99478  0.93917
63  0.54377  0.58112  0.87846  0.59025  0.95752  0.87000  0.99356  0.94524  0.99359  0.94203
64  0.54169  0.58250  0.89101  0.58100  0.96352  0.85800  0.99488  0.94080  0.99496  0.93755
65  0.53943  0.57676  0.90506  0.61644  0.96852  0.88000  0.99581  0.94420  0.99577  0.94090
66  0.53875  0.57886  0.90710  0.58800  0.97201  0.86800  0.99585  0.94057  0.99596  0.93898
67  0.53774  0.57885  0.90288  0.57546  0.96802  0.86400  0.99636  0.94124  0.99660  0.93986
68  0.53837  0.58134  0.90091  0.56786  0.96652  0.85800  0.99533  0.94150  0.99538  0.94052
69  0.53823  0.57691  0.89350  0.60442  0.96202  0.87400  0.99515  0.94536  0.99520  0.94177
70  0.53991  0.57742  0.90130  0.60666  0.96502  0.87800  0.99641  0.94377  0.99664  0.93858
71  0.53386  0.57348  0.91831  0.62514  0.97201  0.89000  0.99704  0.94841  0.99707  0.94549
72  0.54436  0.58170  0.87266  0.57752  0.96052  0.85400  0.99249  0.94191  0.99251  0.93893
73  0.54170  0.58089  0.88813  0.57746  0.96352  0.87800  0.99424  0.93775  0.99424  0.92899
74  0.53703  0.57422  0.91798  0.62850  0.97351  0.87600  0.99643  0.95542  0.99609  0.95160
75  0.53614  0.58142  0.90602  0.56171  0.96602  0.86000  0.99585  0.93931  0.99601  0.93181
76  0.53666  0.57899  0.91992  0.58750  0.97601  0.86400  0.99706  0.94436  0.99714  0.94012
77  0.53234  0.57591  0.93154  0.60158  0.97601  0.87800  0.99771  0.94473  0.99772  0.93819
78  0.53690  0.57739  0.92150  0.60437  0.97101  0.88000  0.99733  0.94317  0.99737  0.93892
79  0.53155  0.57510  0.93019  0.59237  0.97701  0.87600  0.99771  0.94325  0.99770  0.94216
80  0.53132  0.57589  0.92896  0.58739  0.97701  0.87800  0.99766  0.93989  0.99775  0.93459
81  0.53198  0.57706  0.92672  0.58248  0.97551  0.87000  0.99743  0.94444  0.99756  0.94106
82  0.53317  0.57568  0.93141  0.60640  0.97651  0.88000  0.99785  0.94721  0.99794  0.94312
83  0.53226  0.57766  0.93820  0.59140  0.97701  0.87800  0.99825  0.94483  0.99828  0.94001
84  0.53048  0.57534  0.94165  0.60834  0.98051  0.87600  0.99819  0.95116  0.99816  0.94822
85  0.53100  0.57575  0.93991  0.59559  0.97901  0.87200  0.99813  0.94814  0.99814  0.94371
86  0.53108  0.57973  0.92879  0.55396  0.97651  0.86600  0.99748  0.94180  0.99753  0.93725
87  0.53612  0.57255  0.91000  0.61137  0.96902  0.88000  0.99645  0.94182  0.99665  0.94055
88  0.53102  0.57789  0.93769  0.56773  0.98051  0.87200  0.99782  0.94231  0.99779  0.93726
89  0.53050  0.57648  0.94133  0.59188  0.97901  0.87600  0.99821  0.94376  0.99824  0.93922
90  0.53024  0.57385  0.93483  0.59000  0.97851  0.87800  0.99788  0.94225  0.99795  0.93845
91  0.52806  0.57050  0.93944  0.61230  0.97851  0.87200  0.99829  0.95344  0.99840  0.95073
92  0.52894  0.57599  0.95251  0.59287  0.98401  0.86800  0.99893  0.94724  0.99899  0.94134
93  0.52870  0.57418  0.94851  0.57888  0.98351  0.86600  0.99876  0.94476  0.99882  0.94044
94  0.52822  0.57418  0.94975  0.58919  0.98151  0.87600  0.99881  0.94288  0.99887  0.93986
95  0.52832  0.57461  0.95263  0.60305  0.98551  0.88200  0.99885  0.94432  0.99889  0.93840
96  0.52880  0.57843  0.95571  0.58734  0.98551  0.87400  0.99916  0.94639  0.99922  0.94031
97  0.52940  0.57573  0.94964  0.58944  0.98251  0.87400  0.99889  0.94408  0.99893  0.93960
98  0.52592  0.56964  0.95339  0.60712  0.98451  0.88000  0.99890  0.94831  0.99894  0.94381
99  0.52807  0.57207  0.94577  0.61781  0.98051  0.89000  0.99853  0.94914  0.99859  0.94259
100  0.52669  0.56990  0.95204  0.61239  0.98451  0.88400  0.99895  0.94886  0.99903  0.94629
101  0.52587  0.57443  0.95679  0.57670  0.98401  0.86800  0.99926  0.94468  0.99932  0.94188
102  0.52620  0.57137  0.95424  0.59332  0.98551  0.87800  0.99906  0.94572  0.99913  0.94345
103  0.52978  0.57577  0.93946  0.59013  0.98001  0.87200  0.99837  0.94364  0.99847  0.94240
104  0.52743  0.57126  0.95243  0.61752  0.98501  0.88600  0.99888  0.95146  0.99894  0.94652
105  0.52815  0.57340  0.95530  0.59468  0.98551  0.88200  0.99907  0.94423  0.99912  0.94009
106  0.52873  0.57585  0.95308  0.60240  0.98601  0.88000  0.99881  0.94899  0.99884  0.94554
107  0.52680  0.57353  0.95378  0.58858  0.98301  0.88000  0.99912  0.94393  0.99919  0.94031
108  0.52706  0.57755  0.95590  0.57618  0.98601  0.87000  0.99889  0.94624  0.99888  0.94353
109  0.52562  0.57552  0.96187  0.58526  0.98851  0.87200  0.99926  0.94553  0.99930  0.94116
110  0.52407  0.56948  0.95973  0.59836  0.98551  0.87600  0.99937  0.94646  0.99942  0.94276
111  0.52915  0.57440  0.94944  0.60805  0.98301  0.88200  0.99915  0.94777  0.99921  0.94350
112  0.52829  0.57313  0.95364  0.61290  0.98501  0.87800  0.99900  0.94425  0.99906  0.94114
113  0.52686  0.57280  0.95481  0.61725  0.98551  0.88200  0.99878  0.95039  0.99877  0.94722
114  0.52506  0.56850  0.96073  0.61827  0.98701  0.88400  0.99923  0.94794  0.99928  0.94265
115  0.52883  0.57768  0.94554  0.56973  0.98201  0.87000  0.99854  0.94149  0.99863  0.93915
116  0.52607  0.57115  0.95679  0.61177  0.98551  0.88400  0.99896  0.94879  0.99897  0.94360
117  0.52466  0.57178  0.96011  0.60617  0.98701  0.87800  0.99938  0.94421  0.99943  0.94421
118  0.52375  0.56896  0.96751  0.62366  0.98901  0.88400  0.99954  0.95019  0.99958  0.94276
119  0.52478  0.57015  0.96024  0.61005  0.98651  0.88200  0.99924  0.94886  0.99929  0.94368
120  0.52415  0.57129  0.96243  0.60667  0.98651  0.88400  0.99931  0.94863  0.99936  0.94485
121  0.52833  0.57387  0.94687  0.59057  0.98151  0.87600  0.99883  0.94379  0.99893  0.94033
122  0.53017  0.58619  0.94361  0.51886  0.98001  0.86000  0.99885  0.93876  0.99892  0.93365
123  0.52345  0.56887  0.96405  0.61095  0.98851  0.87800  0.99943  0.94918  0.99948  0.94563
124  0.52274  0.57135  0.96819  0.58502  0.98951  0.87000  0.99953  0.94453  0.99957  0.94033
125  0.52433  0.57150  0.96384  0.59747  0.98601  0.88800  0.99947  0.94474  0.99952  0.93823
126  0.52312  0.56833  0.96863  0.60803  0.99000  0.87800  0.99953  0.94573  0.99958  0.93985
127  0.52300  0.57340  0.96652  0.57639  0.98901  0.88400  0.99940  0.94045  0.99944  0.93338
128  0.52485  0.57950  0.96734  0.54817  0.98951  0.86200  0.99948  0.94090  0.99952  0.93420
129  0.52354  0.57040  0.96583  0.60026  0.98801  0.88000  0.99937  0.94548  0.99942  0.94015
130  0.52666  0.57539  0.95129  0.56888  0.98351  0.87200  0.99890  0.94511  0.99898  0.93936
131  0.52397  0.56991  0.96794  0.61936  0.98951  0.88600  0.99946  0.95088  0.99949  0.94148
