epoch  train_CROSS_ENTROPY  test_CROSS_ENTROPY  train_r2  test_r2  train_acc  test_acc  train_auprc  test_auprc  train_auroc  test_auroc

0  0.74536  0.73353  -0.02054  -0.00727  0.46577  0.48800  0.42798  0.47449  0.47412  0.49400
1  0.72393  0.71614  0.04433  0.02641  0.53573  0.51600  0.70641  0.72632  0.74147  0.72475
2  0.70304  0.69271  0.19951  0.19690  0.71664  0.70400  0.76773  0.80652  0.79281  0.79315
3  0.67455  0.67158  0.26739  0.22146  0.72714  0.69400  0.79243  0.80278  0.80866  0.78321
4  0.71560  0.70515  0.16188  0.16235  0.65717  0.65600  0.74219  0.75854  0.80309  0.79663
5  0.64443  0.64275  0.37084  0.31431  0.76712  0.75200  0.85396  0.85138  0.85925  0.82820
6  0.67276  0.67126  0.31422  0.26671  0.73663  0.69400  0.87864  0.87543  0.87866  0.85496
7  0.65804  0.66408  0.40821  0.29702  0.77911  0.69800  0.88202  0.85807  0.88457  0.82922
8  0.64913  0.65096  0.45904  0.37188  0.80360  0.74600  0.89020  0.86817  0.89571  0.85144
9  0.62893  0.62839  0.46834  0.40380  0.80860  0.79800  0.89175  0.88470  0.89450  0.86696
10  0.62551  0.62846  0.53140  0.43549  0.83458  0.80000  0.91173  0.89024  0.91859  0.87890
11  0.61296  0.61719  0.49991  0.38626  0.82159  0.78400  0.91447  0.89019  0.91814  0.87358
12  0.60982  0.61808  0.50505  0.37048  0.82209  0.79000  0.91079  0.88276  0.91073  0.86497
13  0.61631  0.62375  0.54948  0.42581  0.83458  0.78200  0.92207  0.89240  0.92544  0.87480
14  0.61109  0.61720  0.59693  0.47539  0.84958  0.80200  0.93845  0.90826  0.93914  0.89612
15  0.60746  0.61318  0.60446  0.47818  0.85707  0.81000  0.93728  0.90544  0.93935  0.89303
16  0.60965  0.62049  0.60170  0.44432  0.86257  0.80800  0.93494  0.89390  0.93855  0.88196
17  0.60398  0.61010  0.59342  0.45749  0.86457  0.81400  0.93144  0.90549  0.93512  0.89062
18  0.59909  0.60334  0.57677  0.45642  0.85657  0.81000  0.93303  0.90686  0.93440  0.89614
19  0.60955  0.62126  0.62792  0.46070  0.86707  0.78200  0.94524  0.89917  0.94876  0.88879
20  0.60043  0.60678  0.66591  0.54236  0.88206  0.83800  0.95721  0.92373  0.95857  0.91546
21  0.58445  0.59499  0.64978  0.46820  0.87256  0.82200  0.95646  0.91720  0.95838  0.90731
22  0.59560  0.60829  0.68721  0.50986  0.89205  0.82000  0.96115  0.91426  0.96261  0.90338
23  0.58616  0.59500  0.68405  0.53352  0.89505  0.83800  0.95868  0.92687  0.96004  0.91623
24  0.58881  0.59756  0.66130  0.50335  0.88056  0.82600  0.95283  0.91654  0.95603  0.90472
25  0.58459  0.59848  0.69146  0.50728  0.89955  0.82600  0.96074  0.92149  0.96198  0.91000
26  0.58288  0.59032  0.71165  0.57387  0.89705  0.85800  0.96499  0.93135  0.96607  0.92369
27  0.57433  0.58827  0.71742  0.52394  0.90155  0.85600  0.96818  0.92605  0.96890  0.91846
28  0.57598  0.59111  0.73720  0.54220  0.91654  0.86000  0.97000  0.92933  0.97083  0.91719
29  0.57969  0.59282  0.73551  0.56242  0.91254  0.84400  0.97238  0.93662  0.97332  0.92609
30  0.58012  0.59593  0.73419  0.53564  0.91004  0.84000  0.97108  0.92435  0.97218  0.91700
31  0.57183  0.59288  0.74350  0.49500  0.91354  0.81800  0.97216  0.91741  0.97341  0.90728
32  0.56871  0.58533  0.76663  0.57597  0.91954  0.85800  0.97620  0.93202  0.97642  0.92597
33  0.56950  0.58712  0.78634  0.58948  0.92854  0.85600  0.98068  0.93760  0.98114  0.92965
34  0.56816  0.59208  0.76729  0.51215  0.92354  0.83400  0.97677  0.92287  0.97671  0.91471
35  0.57056  0.58389  0.76522  0.59857  0.91754  0.87200  0.97656  0.93565  0.97677  0.92926
36  0.57669  0.59726  0.75985  0.54024  0.91654  0.83400  0.97959  0.93203  0.98061  0.92521
37  0.56316  0.58490  0.80716  0.57102  0.93603  0.85000  0.98345  0.93693  0.98329  0.93040
38  0.56172  0.58204  0.78794  0.54344  0.92454  0.84800  0.98144  0.93265  0.98159  0.92451
39  0.55909  0.57880  0.80395  0.56373  0.93253  0.85400  0.98592  0.93840  0.98554  0.92890
40  0.56441  0.58385  0.80557  0.59795  0.93803  0.87000  0.98427  0.93986  0.98387  0.93490
41  0.57200  0.59123  0.76673  0.55413  0.91554  0.84000  0.98020  0.93673  0.98023  0.92968
42  0.55816  0.57652  0.80460  0.59318  0.93403  0.86400  0.98345  0.94223  0.98345  0.93197
43  0.56123  0.58487  0.82399  0.58301  0.94453  0.85600  0.98670  0.94130  0.98660  0.93267
44  0.55874  0.57544  0.81905  0.62469  0.93853  0.88400  0.98553  0.94650  0.98559  0.94063
45  0.55739  0.57457  0.82892  0.63003  0.93703  0.87600  0.98749  0.95050  0.98717  0.93989
46  0.55807  0.58004  0.83830  0.62099  0.94503  0.87600  0.98901  0.94884  0.98857  0.94065
47  0.55296  0.57353  0.84443  0.62174  0.95152  0.87800  0.98968  0.94370  0.98930  0.93198
48  0.55553  0.57743  0.84818  0.63580  0.95102  0.87600  0.99018  0.95046  0.98994  0.94364
49  0.55318  0.57758  0.85133  0.60808  0.95152  0.88000  0.99025  0.94317  0.98979  0.93842
50  0.54857  0.57650  0.86660  0.60481  0.95302  0.86600  0.99202  0.94309  0.99209  0.93616
51  0.54972  0.57491  0.86658  0.61938  0.95402  0.86400  0.99203  0.94436  0.99185  0.93828
52  0.55851  0.58634  0.82191  0.53760  0.93803  0.84800  0.98712  0.93267  0.98726  0.92404
53  0.54957  0.57467  0.86954  0.61276  0.95602  0.87200  0.99237  0.94320  0.99233  0.93464
54  0.54830  0.57479  0.84998  0.56773  0.94703  0.85800  0.99061  0.93612  0.99030  0.92986
55  0.54800  0.56808  0.84189  0.61939  0.94553  0.88400  0.98994  0.94939  0.99012  0.94087
56  0.54704  0.57412  0.88120  0.62419  0.96302  0.87800  0.99367  0.94488  0.99383  0.93888
57  0.54794  0.57326  0.85478  0.60061  0.94903  0.87200  0.99116  0.94292  0.99130  0.93626
58  0.54857  0.58090  0.86827  0.58064  0.95702  0.84800  0.99160  0.93977  0.99113  0.93448
59  0.54248  0.56918  0.87870  0.61737  0.95852  0.87800  0.99441  0.94589  0.99429  0.94092
60  0.54311  0.56964  0.88164  0.61872  0.96002  0.88400  0.99315  0.94757  0.99304  0.94156
61  0.54508  0.57453  0.89311  0.62375  0.96202  0.87000  0.99492  0.94445  0.99502  0.93714
62  0.54199  0.57612  0.89286  0.56899  0.96502  0.85800  0.99458  0.94153  0.99474  0.93490
63  0.54605  0.57606  0.88220  0.59615  0.96102  0.88600  0.99349  0.94331  0.99362  0.93301
64  0.54184  0.57303  0.89789  0.59874  0.96702  0.86600  0.99495  0.93991  0.99485  0.93623
65  0.54160  0.56846  0.87209  0.57978  0.95802  0.87400  0.99312  0.94175  0.99344  0.93477
66  0.54078  0.57117  0.88621  0.57911  0.96202  0.86600  0.99533  0.94223  0.99545  0.93621
67  0.54215  0.57308  0.90312  0.62137  0.96852  0.87400  0.99586  0.94543  0.99587  0.94095
68  0.53941  0.57324  0.90389  0.58533  0.96752  0.86400  0.99534  0.93985  0.99527  0.93855
69  0.53659  0.56731  0.90978  0.62423  0.97401  0.88400  0.99669  0.94509  0.99684  0.93900
70  0.54019  0.57732  0.91397  0.59349  0.97201  0.86800  0.99683  0.93994  0.99701  0.93491
71  0.53736  0.56966  0.91019  0.58351  0.97051  0.87000  0.99617  0.94046  0.99624  0.93519
72  0.53766  0.56911  0.90290  0.59698  0.96602  0.86800  0.99577  0.94441  0.99592  0.94223
73  0.53454  0.56546  0.92030  0.63080  0.97151  0.88200  0.99674  0.94724  0.99671  0.94213
74  0.53876  0.56797  0.90983  0.63615  0.97001  0.87200  0.99619  0.95010  0.99622  0.94667
75  0.53815  0.56855  0.90078  0.59304  0.96402  0.87600  0.99546  0.94627  0.99560  0.93836
76  0.54035  0.57247  0.90411  0.62533  0.96852  0.88000  0.99583  0.94680  0.99595  0.94351
77  0.53442  0.57061  0.92615  0.58343  0.97501  0.87000  0.99735  0.94370  0.99744  0.93973
78  0.53184  0.56342  0.92469  0.61107  0.97451  0.88400  0.99811  0.95019  0.99826  0.94257
79  0.53540  0.56212  0.90195  0.63926  0.96652  0.89000  0.99601  0.95685  0.99619  0.94968
80  0.53278  0.56728  0.93115  0.59079  0.97751  0.87000  0.99779  0.94092  0.99790  0.93612
81  0.53285  0.56769  0.93470  0.60107  0.98101  0.87600  0.99786  0.94224  0.99793  0.94004
82  0.53215  0.56745  0.93834  0.62156  0.97951  0.88200  0.99800  0.94502  0.99809  0.94180
83  0.53361  0.56503  0.92323  0.63033  0.97251  0.89400  0.99753  0.94691  0.99767  0.94470
84  0.53423  0.57023  0.92686  0.60068  0.97551  0.87000  0.99721  0.94618  0.99720  0.94465
85  0.53287  0.57239  0.93727  0.58151  0.98001  0.86000  0.99814  0.94010  0.99825  0.93896
86  0.53063  0.56873  0.93996  0.58872  0.98001  0.88200  0.99801  0.93951  0.99818  0.93751
87  0.53307  0.57557  0.92755  0.56196  0.97751  0.86200  0.99721  0.94077  0.99731  0.94097
88  0.53452  0.57653  0.92933  0.55477  0.97601  0.86200  0.99781  0.93237  0.99794  0.93271
89  0.52996  0.56690  0.94192  0.59677  0.98151  0.87400  0.99830  0.94412  0.99837  0.94276
90  0.53128  0.56610  0.93576  0.61354  0.97701  0.87600  0.99806  0.94509  0.99817  0.94505
91  0.53123  0.57097  0.93828  0.58476  0.97851  0.87800  0.99789  0.94474  0.99801  0.94225
92  0.53256  0.57058  0.93918  0.61814  0.97851  0.88000  0.99804  0.94423  0.99805  0.94484
93  0.53087  0.56294  0.93482  0.62132  0.97951  0.89000  0.99797  0.95140  0.99812  0.94577
94  0.52857  0.56314  0.94283  0.61998  0.98301  0.88000  0.99864  0.95101  0.99867  0.94740
95  0.53002  0.57071  0.95121  0.56784  0.98551  0.86400  0.99856  0.93466  0.99851  0.93394
96  0.52690  0.56085  0.95742  0.63372  0.98701  0.89600  0.99885  0.94428  0.99887  0.94426
97  0.52825  0.56756  0.94845  0.60085  0.98251  0.88600  0.99853  0.93934  0.99860  0.94049
98  0.52790  0.56418  0.95076  0.61317  0.98451  0.88600  0.99884  0.93676  0.99892  0.93920
99  0.52895  0.56557  0.94876  0.60755  0.98401  0.88200  0.99875  0.94083  0.99881  0.94366
100  0.52754  0.56364  0.95026  0.61453  0.98151  0.88800  0.99889  0.94117  0.99897  0.94420
101  0.52981  0.57122  0.95083  0.60096  0.98451  0.88600  0.99868  0.93922  0.99874  0.93827
102  0.52781  0.56784  0.95518  0.60804  0.98251  0.87600  0.99900  0.94517  0.99907  0.94516
103  0.52766  0.56644  0.95443  0.62446  0.98551  0.88800  0.99889  0.94581  0.99895  0.94602
104  0.52774  0.55893  0.94763  0.64534  0.98351  0.89800  0.99877  0.94297  0.99886  0.94404
105  0.52722  0.56766  0.95754  0.59628  0.98701  0.88000  0.99908  0.94060  0.99915  0.93839
106  0.52705  0.56063  0.94707  0.62815  0.98151  0.89000  0.99891  0.94513  0.99898  0.94130
107  0.52889  0.56842  0.94707  0.59537  0.98101  0.87200  0.99843  0.93935  0.99848  0.93996
108  0.52894  0.56566  0.94409  0.61321  0.98051  0.89000  0.99859  0.94171  0.99866  0.94377
109  0.53562  0.57436  0.91194  0.56894  0.97551  0.87400  0.99595  0.93422  0.99609  0.93898
110  0.52839  0.56468  0.94580  0.60315  0.98151  0.88000  0.99904  0.94074  0.99911  0.93724
111  0.52866  0.57241  0.94839  0.57578  0.98401  0.87400  0.99827  0.93838  0.99824  0.93668
112  0.52627  0.56891  0.96084  0.57941  0.98801  0.87400  0.99901  0.94157  0.99906  0.93735
113  0.52887  0.57155  0.95422  0.57140  0.98601  0.87200  0.99871  0.93782  0.99872  0.93275
114  0.52769  0.56542  0.95109  0.59535  0.98651  0.88400  0.99882  0.93622  0.99882  0.93279
