epoch  train_CROSS_ENTROPY  test_CROSS_ENTROPY  train_r2  test_r2  train_acc  test_acc  train_auprc  test_auprc  train_auroc  test_auroc

0  0.74395  0.74342  -0.01860  -0.01901  0.46977  0.47800  0.48514  0.49089  0.52229  0.53733
1  0.72594  0.72589  0.04594  0.04078  0.55822  0.54800  0.73730  0.70795  0.76772  0.73746
2  0.69304  0.69593  0.24453  0.21245  0.72314  0.70000  0.79294  0.78194  0.81168  0.77991
3  0.65560  0.66260  0.33646  0.27325  0.75612  0.74000  0.83986  0.81739  0.84317  0.79688
4  0.67291  0.67966  0.29687  0.23359  0.72914  0.68200  0.85324  0.83125  0.85229  0.81294
5  0.64902  0.65842  0.40643  0.32441  0.77061  0.75000  0.86720  0.82239  0.86664  0.82535
6  0.62827  0.63837  0.46331  0.37856  0.80610  0.77600  0.88907  0.85949  0.89385  0.85612
7  0.62570  0.63642  0.50695  0.38965  0.82559  0.77600  0.91209  0.86283  0.91526  0.86183
8  0.62046  0.62853  0.54488  0.44140  0.83508  0.80800  0.91728  0.88213  0.92158  0.87006
9  0.63219  0.64838  0.43909  0.26300  0.78561  0.73200  0.88722  0.81639  0.89438  0.81240
10  0.61336  0.62950  0.56492  0.39975  0.84958  0.79400  0.93077  0.87023  0.93477  0.86048
11  0.61037  0.62497  0.56441  0.43530  0.84808  0.80000  0.92571  0.89514  0.93091  0.88512
12  0.61478  0.62950  0.59400  0.45460  0.85357  0.80200  0.93520  0.88696  0.94032  0.87647
13  0.60362  0.61908  0.59292  0.47106  0.85857  0.82200  0.93351  0.89284  0.93505  0.88571
14  0.59768  0.61562  0.64947  0.48562  0.87756  0.82400  0.95005  0.90094  0.95178  0.89074
15  0.59778  0.61298  0.64549  0.51647  0.87456  0.83000  0.95027  0.91069  0.95172  0.90172
16  0.59838  0.60996  0.59124  0.48017  0.86207  0.82800  0.93301  0.90150  0.93570  0.88949
17  0.60380  0.62470  0.64543  0.47276  0.87706  0.81400  0.95495  0.90062  0.95690  0.88918
18  0.59283  0.61330  0.66410  0.48082  0.88206  0.81800  0.95573  0.89803  0.95637  0.88676
19  0.59316  0.61130  0.67921  0.51862  0.88506  0.84000  0.95939  0.91381  0.96149  0.90160
20  0.58562  0.60843  0.70012  0.51006  0.90155  0.83000  0.96323  0.90710  0.96497  0.90091
21  0.59714  0.61559  0.65837  0.50129  0.87606  0.83000  0.96281  0.91184  0.96327  0.89658
22  0.58158  0.60546  0.71196  0.51583  0.89955  0.82800  0.96642  0.91226  0.96691  0.90114
23  0.57804  0.59890  0.73551  0.55509  0.91554  0.84800  0.97050  0.92457  0.97144  0.90772
24  0.58060  0.60133  0.73808  0.55104  0.90905  0.84800  0.97247  0.92193  0.97357  0.90217
25  0.57110  0.59578  0.75054  0.52988  0.91554  0.83600  0.97475  0.91756  0.97529  0.90560
26  0.57278  0.59738  0.73100  0.51062  0.90855  0.85200  0.97427  0.91385  0.97504  0.89971
27  0.56662  0.59344  0.74984  0.52889  0.91454  0.84400  0.97556  0.91979  0.97492  0.90987
28  0.57337  0.59800  0.74579  0.52381  0.91404  0.85000  0.97262  0.91944  0.97381  0.90781
29  0.56655  0.59408  0.78452  0.54983  0.92104  0.84800  0.98038  0.92358  0.98056  0.91234
30  0.56547  0.59025  0.76045  0.55180  0.91504  0.85600  0.97661  0.92401  0.97766  0.90757
31  0.57020  0.59552  0.75412  0.54385  0.91304  0.85400  0.97507  0.91849  0.97542  0.90867
32  0.56858  0.59335  0.76759  0.54262  0.92204  0.86200  0.97681  0.92496  0.97831  0.91038
33  0.56410  0.59382  0.80186  0.56014  0.93803  0.85400  0.98302  0.92641  0.98323  0.91374
34  0.56540  0.59357  0.78394  0.55524  0.92704  0.85800  0.98078  0.93110  0.98078  0.91854
35  0.56281  0.59042  0.79681  0.56670  0.93053  0.86600  0.98240  0.92416  0.98311  0.91412
36  0.55770  0.58675  0.82394  0.57796  0.94053  0.86800  0.98669  0.92515  0.98681  0.91348
37  0.56415  0.59588  0.80051  0.53488  0.92754  0.85000  0.98484  0.92512  0.98525  0.90863
38  0.56298  0.59114  0.79120  0.55209  0.92854  0.85800  0.98175  0.92435  0.98172  0.91191
39  0.55715  0.58855  0.84066  0.57907  0.94453  0.85400  0.99036  0.92994  0.99036  0.91879
40  0.55382  0.58898  0.83295  0.52999  0.94403  0.85200  0.98773  0.92198  0.98780  0.91250
41  0.55342  0.59207  0.83968  0.52455  0.94553  0.84400  0.98861  0.91252  0.98804  0.90327
42  0.55690  0.58686  0.76613  0.50586  0.91904  0.85000  0.98468  0.91707  0.98495  0.90680
43  0.55451  0.58273  0.82444  0.59600  0.93653  0.87200  0.98741  0.93324  0.98772  0.92459
44  0.55259  0.58752  0.85271  0.56330  0.95002  0.85400  0.99060  0.92103  0.99058  0.91059
45  0.54937  0.58118  0.80890  0.53495  0.93303  0.85000  0.98903  0.92849  0.98947  0.91701
46  0.55266  0.59076  0.84078  0.54868  0.94303  0.86000  0.98935  0.92295  0.98943  0.91340
47  0.55053  0.58390  0.83272  0.54456  0.94453  0.84800  0.99008  0.92455  0.99016  0.91558
48  0.54526  0.57842  0.87142  0.60165  0.95752  0.87000  0.99276  0.93979  0.99300  0.92626
49  0.54544  0.58315  0.88705  0.57729  0.96302  0.87400  0.99474  0.93055  0.99493  0.91793
50  0.54275  0.58129  0.87151  0.56946  0.95702  0.85600  0.99303  0.92834  0.99323  0.92032
51  0.55096  0.58799  0.86550  0.55041  0.95402  0.86400  0.99269  0.92347  0.99253  0.91022
52  0.53869  0.58143  0.87926  0.53813  0.96002  0.85400  0.99398  0.93068  0.99415  0.92167
53  0.54408  0.58717  0.89097  0.55014  0.96302  0.85800  0.99492  0.92366  0.99495  0.91513
54  0.55366  0.58850  0.84079  0.54759  0.94403  0.86000  0.99146  0.93453  0.99177  0.92321
55  0.54206  0.58554  0.89658  0.55676  0.96552  0.85400  0.99544  0.93483  0.99571  0.92298
56  0.54752  0.59035  0.87211  0.52965  0.95502  0.84800  0.99364  0.92992  0.99391  0.92330
57  0.53792  0.57976  0.90689  0.57836  0.96902  0.86000  0.99636  0.93443  0.99654  0.92279
58  0.54133  0.58087  0.90393  0.58935  0.96552  0.87200  0.99614  0.93242  0.99619  0.91826
59  0.53795  0.58329  0.89561  0.52080  0.96452  0.86000  0.99647  0.92346  0.99665  0.91517
60  0.54022  0.58083  0.90667  0.57813  0.96802  0.86600  0.99639  0.93337  0.99648  0.91995
61  0.54033  0.58064  0.90510  0.58606  0.96602  0.87600  0.99605  0.93546  0.99608  0.92199
62  0.53760  0.57631  0.88970  0.57058  0.96152  0.87600  0.99557  0.93227  0.99583  0.91822
63  0.54322  0.58480  0.89444  0.55667  0.96352  0.85800  0.99592  0.93427  0.99616  0.92481
64  0.53859  0.57822  0.90907  0.58229  0.96752  0.86800  0.99632  0.93622  0.99635  0.92504
65  0.53677  0.58118  0.90552  0.55102  0.96852  0.86600  0.99645  0.93459  0.99647  0.92581
66  0.53899  0.58398  0.90090  0.54658  0.96652  0.85000  0.99592  0.93793  0.99606  0.93078
67  0.53744  0.57738  0.91103  0.60056  0.97301  0.87400  0.99589  0.94367  0.99596  0.93276
68  0.53704  0.58250  0.93174  0.57424  0.97851  0.87400  0.99844  0.93433  0.99851  0.92157
69  0.53062  0.57734  0.93213  0.55316  0.97951  0.85800  0.99786  0.94008  0.99797  0.92948
70  0.53754  0.58360  0.90158  0.50929  0.96752  0.85000  0.99583  0.92192  0.99592  0.91197
71  0.53557  0.58193  0.92601  0.53652  0.97351  0.86000  0.99774  0.93236  0.99784  0.92391
72  0.53467  0.58002  0.91388  0.54672  0.97201  0.86000  0.99638  0.93090  0.99640  0.92021
73  0.53150  0.57686  0.92638  0.56126  0.97551  0.87000  0.99811  0.93305  0.99820  0.92375
74  0.53287  0.58194  0.92589  0.55250  0.97501  0.86400  0.99746  0.93819  0.99765  0.92735
75  0.53432  0.58475  0.93144  0.54558  0.97801  0.86000  0.99814  0.93291  0.99827  0.92399
76  0.53639  0.58919  0.91064  0.52003  0.96952  0.86200  0.99658  0.92727  0.99682  0.91927
77  0.53003  0.57873  0.93910  0.55293  0.97951  0.86400  0.99841  0.92981  0.99855  0.91677
78  0.52963  0.57869  0.94354  0.56712  0.98051  0.86400  0.99856  0.93748  0.99862  0.92891
79  0.52839  0.57965  0.95033  0.54017  0.98601  0.85400  0.99875  0.92859  0.99876  0.92154
80  0.53062  0.58030  0.93518  0.54611  0.97801  0.85600  0.99814  0.93212  0.99823  0.92910
81  0.52822  0.58226  0.94908  0.53193  0.98401  0.85200  0.99878  0.92709  0.99882  0.91765
82  0.52788  0.57525  0.94402  0.58856  0.98101  0.86800  0.99861  0.94153  0.99871  0.93159
83  0.52687  0.57699  0.94907  0.56933  0.98251  0.87200  0.99849  0.93639  0.99865  0.92584
84  0.53348  0.58341  0.92550  0.55073  0.97451  0.86800  0.99793  0.93930  0.99800  0.93077
85  0.52837  0.57883  0.94312  0.53801  0.98401  0.86400  0.99865  0.92746  0.99873  0.92157
86  0.52894  0.57480  0.93489  0.55152  0.97801  0.86800  0.99851  0.93610  0.99866  0.92746
87  0.52817  0.57968  0.95174  0.55430  0.98601  0.86400  0.99886  0.93800  0.99889  0.92996
88  0.52744  0.57774  0.95617  0.55985  0.98551  0.87200  0.99920  0.93663  0.99926  0.92622
89  0.53080  0.58349  0.93407  0.52358  0.97601  0.86000  0.99816  0.92766  0.99823  0.92441
90  0.52767  0.57509  0.94424  0.57363  0.97951  0.87600  0.99846  0.93389  0.99867  0.92561
91  0.52858  0.58036  0.95193  0.53536  0.98501  0.86000  0.99901  0.93516  0.99908  0.92550
92  0.52741  0.58019  0.94515  0.53583  0.98001  0.85800  0.99868  0.92991  0.99875  0.92173
93  0.52692  0.58442  0.94986  0.50655  0.98451  0.85400  0.99868  0.93286  0.99876  0.92550
94  0.53114  0.58670  0.94073  0.51455  0.98001  0.85200  0.99857  0.93725  0.99868  0.92818
95  0.53178  0.58383  0.93816  0.53488  0.97851  0.86400  0.99850  0.92614  0.99853  0.91733
96  0.52517  0.57594  0.95944  0.54646  0.98751  0.87200  0.99932  0.92996  0.99937  0.92228
97  0.52597  0.57579  0.95178  0.56854  0.98201  0.87800  0.99906  0.93390  0.99914  0.92566
98  0.52702  0.58016  0.94747  0.52053  0.98401  0.86000  0.99870  0.92676  0.99879  0.92369
99  0.52397  0.57633  0.96245  0.55646  0.98851  0.86400  0.99929  0.93178  0.99932  0.92359
100  0.52332  0.57348  0.96327  0.57000  0.98801  0.87600  0.99939  0.93401  0.99943  0.92714
101  0.52341  0.57764  0.97108  0.55124  0.99000  0.87200  0.99959  0.93607  0.99961  0.92780
102  0.52441  0.57853  0.96293  0.53585  0.98801  0.86200  0.99928  0.93688  0.99931  0.93181
103  0.52523  0.57490  0.96069  0.55220  0.98851  0.87000  0.99935  0.93124  0.99940  0.92338
104  0.52502  0.58134  0.96167  0.53367  0.98751  0.87000  0.99915  0.93440  0.99919  0.92655
105  0.52452  0.57864  0.96182  0.53206  0.98601  0.86800  0.99940  0.93397  0.99945  0.92467
106  0.53034  0.57892  0.93400  0.56586  0.97901  0.87800  0.99800  0.94173  0.99818  0.93541
107  0.53119  0.58552  0.94411  0.52958  0.97751  0.85600  0.99910  0.93456  0.99916  0.92915
108  0.52771  0.57986  0.95507  0.54691  0.98601  0.86200  0.99918  0.93504  0.99924  0.92464
109  0.52406  0.57844  0.96637  0.53377  0.99000  0.86600  0.99950  0.92762  0.99953  0.92285
110  0.52378  0.57394  0.95891  0.54950  0.98551  0.87400  0.99936  0.93400  0.99942  0.92671
111  0.52236  0.57194  0.96498  0.57227  0.98851  0.88000  0.99938  0.93673  0.99941  0.92964
112  0.52228  0.57561  0.97115  0.55057  0.99050  0.86600  0.99963  0.93464  0.99966  0.92510
113  0.52991  0.58297  0.94829  0.54517  0.98251  0.86600  0.99935  0.93960  0.99939  0.93237
114  0.52340  0.57225  0.96553  0.58441  0.98951  0.88000  0.99944  0.93420  0.99948  0.92475
115  0.52313  0.57400  0.97130  0.58341  0.99100  0.88800  0.99953  0.93706  0.99955  0.92903
116  0.52278  0.57305  0.96510  0.55866  0.98801  0.87200  0.99956  0.93579  0.99960  0.93032
117  0.52268  0.57242  0.97425  0.58531  0.99100  0.88000  0.99965  0.93835  0.99967  0.92703
118  0.52271  0.57459  0.97001  0.56030  0.98951  0.87400  0.99960  0.93717  0.99964  0.92813
119  0.52297  0.57443  0.97016  0.57566  0.99050  0.88200  0.99959  0.93917  0.99963  0.92985
120  0.52203  0.57533  0.97254  0.56191  0.99050  0.87600  0.99967  0.93561  0.99970  0.92755
121  0.52156  0.57164  0.97529  0.58418  0.99150  0.88400  0.99975  0.93926  0.99978  0.92879
122  0.52167  0.57131  0.96582  0.55657  0.98951  0.87600  0.99966  0.93274  0.99969  0.92659
123  0.52129  0.57773  0.96873  0.52474  0.98901  0.86400  0.99964  0.92932  0.99967  0.92224
124  0.52026  0.57130  0.97810  0.57222  0.99200  0.88000  0.99974  0.93514  0.99976  0.92410
125  0.52262  0.57306  0.97152  0.56791  0.99200  0.87400  0.99965  0.93138  0.99968  0.92598
126  0.52238  0.57041  0.96763  0.59281  0.98901  0.88200  0.99944  0.94068  0.99949  0.93293
127  0.52295  0.57685  0.96676  0.53428  0.98851  0.86200  0.99941  0.93451  0.99944  0.92555
128  0.52229  0.57074  0.97001  0.59710  0.99050  0.89400  0.99953  0.94361  0.99956  0.93329
129  0.52123  0.57305  0.97334  0.58140  0.99100  0.88400  0.99962  0.93977  0.99965  0.93372
130  0.52392  0.58108  0.96697  0.49626  0.98701  0.85800  0.99954  0.93118  0.99959  0.92422
131  0.52219  0.57548  0.97003  0.56183  0.99100  0.87200  0.99927  0.93796  0.99925  0.92993
132  0.52513  0.57704  0.95585  0.54038  0.98401  0.86600  0.99912  0.93701  0.99916  0.92537
133  0.52234  0.57862  0.97097  0.53894  0.99000  0.87000  0.99955  0.93632  0.99958  0.92650
134  0.52061  0.57259  0.97077  0.54802  0.99050  0.87400  0.99968  0.93516  0.99971  0.92727
135  0.52203  0.57468  0.97537  0.56520  0.99200  0.87000  0.99973  0.93774  0.99975  0.92812
136  0.52047  0.57308  0.97835  0.55524  0.99150  0.87400  0.99980  0.93489  0.99982  0.92354
137  0.52015  0.57387  0.97779  0.55394  0.99200  0.87000  0.99975  0.93705  0.99977  0.92881
138  0.52050  0.57325  0.97836  0.56646  0.99350  0.88000  0.99977  0.93850  0.99979  0.92895
139  0.52110  0.57251  0.97021  0.54606  0.98851  0.86800  0.99962  0.93484  0.99965  0.92714
140  0.52192  0.57460  0.97592  0.57069  0.99250  0.87600  0.99970  0.94069  0.99972  0.93252
141  0.52005  0.56830  0.98003  0.59088  0.99400  0.88800  0.99981  0.94203  0.99983  0.93295
142  0.52043  0.57103  0.97661  0.58374  0.99250  0.87800  0.99970  0.94170  0.99973  0.93200
143  0.52464  0.57900  0.96074  0.55156  0.98501  0.87000  0.99926  0.93915  0.99934  0.92603
144  0.52596  0.57581  0.95577  0.57105  0.98501  0.87800  0.99930  0.93884  0.99935  0.92976
145  0.52237  0.57813  0.97308  0.54878  0.99050  0.86800  0.99976  0.92949  0.99978  0.91939
146  0.52191  0.57788  0.97244  0.53917  0.99100  0.86800  0.99967  0.93617  0.99970  0.93049
147  0.52084  0.57484  0.97766  0.54774  0.99200  0.87200  0.99977  0.93582  0.99979  0.92797
148  0.52114  0.58036  0.97739  0.50075  0.99250  0.86200  0.99975  0.93027  0.99977  0.92454
149  0.51976  0.56777  0.97537  0.58702  0.99200  0.88400  0.99966  0.94136  0.99967  0.93083
150  0.51999  0.57268  0.98070  0.56998  0.99300  0.87800  0.99983  0.93860  0.99984  0.93024
151  0.52000  0.57290  0.98028  0.57657  0.99300  0.87800  0.99984  0.93649  0.99986  0.92388
152  0.52000  0.57701  0.97811  0.53323  0.99250  0.86800  0.99972  0.93667  0.99974  0.92834
153  0.51920  0.57188  0.98070  0.56689  0.99400  0.88000  0.99977  0.93878  0.99978  0.92728
154  0.51892  0.57417  0.98142  0.54553  0.99350  0.87800  0.99978  0.93872  0.99979  0.93063
155  0.52039  0.57606  0.97695  0.54295  0.99200  0.87200  0.99979  0.93927  0.99981  0.93059
156  0.52122  0.57781  0.96880  0.50722  0.98901  0.86200  0.99958  0.92992  0.99963  0.92231
157  0.52069  0.57443  0.96804  0.52343  0.98901  0.86200  0.99978  0.93160  0.99980  0.92165
158  0.52027  0.57070  0.97488  0.56277  0.99050  0.87800  0.99970  0.93757  0.99973  0.92821
159  0.52141  0.57970  0.97407  0.51997  0.99000  0.85800  0.99970  0.92831  0.99973  0.92051
160  0.52054  0.57690  0.97533  0.54459  0.99200  0.86200  0.99972  0.93674  0.99975  0.92569
161  0.51952  0.57529  0.98081  0.54190  0.99400  0.86800  0.99977  0.93195  0.99978  0.92282
162  0.51925  0.57728  0.98249  0.53818  0.99400  0.87000  0.99985  0.93165  0.99986  0.92531
163  0.51959  0.57768  0.98057  0.52473  0.99300  0.86800  0.99984  0.93033  0.99986  0.92377
164  0.52026  0.57566  0.97427  0.51752  0.99250  0.86400  0.99968  0.92771  0.99971  0.92050
165  0.52011  0.57388  0.98118  0.55315  0.99350  0.87400  0.99982  0.93812  0.99984  0.92979
166  0.51962  0.57413  0.98161  0.54424  0.99300  0.87000  0.99985  0.93112  0.99987  0.92538
167  0.51917  0.57387  0.98300  0.56635  0.99400  0.87800  0.99986  0.93720  0.99988  0.92985
168  0.51878  0.57561  0.98046  0.53673  0.99350  0.86600  0.99984  0.93366  0.99985  0.92669
169  0.51908  0.57288  0.98146  0.53300  0.99400  0.87200  0.99986  0.93277  0.99987  0.92387
